School,District,A1. Classroom Salaries,A2. Other Instructional Salaries,A3. Instructional Benefits,A4. Professional Development,GROUP A TOTAL,B1. School Administrative Salaries,B2. School Administrative Benefits,B3. Other School Administrative Expenditures,GROUP B TOTAL,C1. All Other Salaries,C2. All Other Benefits,C3. All Other Non-personnel Expenditures,GROUP C TOTAL,D. Total School Level (A + B + C),I. Total Spending (D + H),J. Total School Level Local/State Spending,K1. Federal Title I Part A,K2. Federal Title II Part A,K3. Federal Title III Part A,K4. Federal Title IV Part A,K5. IDEA,K6. All Other Federal,GROUP K TOTAL,N. Total District and School Spending (J + K + L + M),O. Special Education,P. ELL/MLL Services,Q. Pupil Services,R. Community Schools Programs,S. BOCES Services,T. Prekindergarten
ANTONIA PANTOJA PREP ACADEMY,NYC GEOG DIST # 8 - BRONX ,"$7,125.68","$2,234.85","$5,186.21",$127.30,"$14,674.04","$1,056.88",$585.57,$0.00,"$1,642.45",$579.22,$320.91,"$1,366.76","$2,266.89","$18,583.39","$26,285.46","$17,343.15",$948.39,$0.00,$42.54,$11.34,$202.85,$35.11,"$1,240.23","$26,285.46","$16,367.72","$11,750.37","$1,278.05",$676.57,$0.00,$0.00
"ARCHIMEDES ACAD-MATH, SCI, TECH",NYC GEOG DIST # 8 - BRONX ,"$6,661.12","$2,058.59","$4,831.16",$127.52,"$13,678.40",$851.86,$471.97,$0.00,"$1,323.83",$549.94,$304.69,$450.91,"$1,305.55","$16,307.77","$24,009.85","$14,588.79","$1,108.70",$0.00,$18.60,$9.06,$412.45,$170.17,"$1,718.98","$24,009.85","$16,269.17","$4,196.93",$687.40,$0.00,$0.00,$0.00
BLUEPRINT MIDDLE SCHOOL,NYC GEOG DIST # 8 - BRONX ,"$6,643.92","$1,718.04","$4,632.95",$258.30,"$13,253.21",$602.65,$333.90,$0.00,$936.54,$350.48,$194.19,"$1,476.76","$2,021.42","$16,211.18","$23,913.26","$15,000.25","$1,044.05",$0.00,$16.56,$8.97,$109.05,$32.31,"$1,210.93","$23,913.26","$20,892.75","$3,153.89",$544.67,$0.00,$0.00,$0.00
BRONX ARENA HIGH SCHOOL,NYC GEOG DIST # 8 - BRONX ,"$9,553.30","$1,913.08","$6,352.96",$460.62,"$18,279.97","$1,929.10","$1,068.82",$0.00,"$2,997.91",$337.80,$187.16,"$1,735.14","$2,260.10","$23,537.99","$31,240.07","$21,447.52","$1,441.86",$0.00,$0.00,$553.21,$0.00,$95.39,"$2,090.47","$31,240.07","$17,176.59",$0.00,$0.00,$0.00,$0.00,$0.00
BRONX BRIDGES HIGH SCHOOL,NYC GEOG DIST # 8 - BRONX ,"$6,770.38","$2,163.94","$4,950.07",$62.33,"$13,946.73",$995.42,$551.51,$0.00,"$1,546.94","$1,333.10",$738.60,"$1,640.27","$3,711.98","$19,205.64","$26,907.72","$17,473.20","$1,242.00",$0.00,$151.66,$18.75,$208.25,$111.78,"$1,732.44","$26,907.72","$25,757.97","$4,439.37","$1,879.77",$0.00,$0.00,$0.00
BRONX COMMUNITY HIGH SCHOOL,NYC GEOG DIST # 8 - BRONX ,"$9,309.24","$1,532.97","$6,007.14",$47.70,"$16,897.05","$1,777.81",$984.99,$0.00,"$2,762.80",$884.84,$490.24,"$1,620.84","$2,995.93","$22,655.79","$30,357.87","$21,715.60",$791.04,$0.00,$0.00,$149.14,$0.00,$0.00,$940.19,"$30,357.87","$7,454.22","$16,079.83","$1,375.09",$0.00,$0.00,$0.00
BRONX COMPASS HIGH SCHOOL,NYC GEOG DIST # 8 - BRONX ,"$7,243.71","$1,776.91","$4,997.88",$18.99,"$14,037.49","$1,086.01",$601.71,$0.00,"$1,687.72","$1,449.95",$803.34,"$1,145.36","$3,398.65","$19,123.87","$26,825.94","$17,328.68",$899.49,$0.00,$31.01,$482.04,$382.65,$0.00,"$1,795.19","$26,825.94","$11,165.94","$8,522.50","$2,195.90",$0.00,$0.00,$0.00
BRONX DELTA SCHOOL,NYC GEOG DIST # 8 - BRONX ,"$7,322.84","$2,641.26","$5,520.62",$237.64,"$15,722.38",$780.52,$432.45,$0.00,"$1,212.96",$274.68,$152.18,$402.79,$829.65,"$17,765.00","$25,467.07","$16,756.90",$569.31,$0.00,$0.00,$0.00,$376.08,$62.70,"$1,008.09","$25,467.07","$36,460.68","$4,787.17",$426.86,$0.00,$0.00,"$15,222.10"
BRONX MATHEMATICS PREP SCH (THE),NYC GEOG DIST # 8 - BRONX ,"$8,262.90","$4,167.35","$6,886.99",$523.78,"$19,841.03","$2,043.15","$1,132.01",$0.00,"$3,175.16",$891.29,$493.82,"$3,725.50","$5,110.62","$28,126.80","$35,828.88","$25,848.33","$1,337.27",$0.00,$47.48,$21.68,$425.64,$446.38,"$2,278.47","$35,828.88","$20,116.55","$12,893.53","$3,191.89","$2,829.00",$0.00,$0.00
BRONX RIVER HIGH SCHOOL,NYC GEOG DIST # 8 - BRONX ,"$6,529.17","$1,730.87","$4,576.48",$50.82,"$12,887.33",$951.67,$527.27,$0.00,"$1,478.95",$892.58,$494.53,"$1,410.75","$2,797.87","$17,164.15","$24,866.23","$16,269.95",$613.89,$0.00,$44.41,$0.00,$182.11,$53.79,$894.21,"$24,866.23","$11,801.22","$5,621.95","$1,334.07",$0.00,$0.00,$0.00
