School,District,A1. Classroom Salaries,A2. Other Instructional Salaries,A3. Instructional Benefits,A4. Professional Development,GROUP A TOTAL,B1. School Administrative Salaries,B2. School Administrative Benefits,B3. Other School Administrative Expenditures,GROUP B TOTAL,C1. All Other Salaries,C2. All Other Benefits,C3. All Other Non-personnel Expenditures,GROUP C TOTAL,D. Total School Level (A + B + C),I. Total Spending (D + H),J. Total School Level Local/State Spending,K1. Federal Title I Part A,K2. Federal Title II Part A,K3. Federal Title III Part A,K4. Federal Title IV Part A,K5. IDEA,K6. All Other Federal,GROUP K TOTAL,N. Total District and School Spending (J + K + L + M),O. Special Education,P. ELL/MLL Services,Q. Pupil Services,R. Community Schools Programs,S. BOCES Services,T. Prekindergarten
ANDRIES HUDDE,NYC GEOG DIST #22 - BROOKLYN ,"$6,688.40","$2,054.89","$4,844.23",$94.77,"$13,682.30",$608.22,$336.98,$0.00,$945.20,$458.87,$254.24,$896.96,"$1,610.07","$16,237.58","$23,939.65","$14,302.10",$714.25,$0.00,$27.99,$0.00,$278.72,$914.51,"$1,935.47","$23,939.65","$21,826.72","$3,651.53",$713.11,$0.00,$0.00,$0.00
BROOKLYN COLLEGE ACADEMY,NYC GEOG DIST #22 - BROOKLYN ,"$4,333.70",$645.12,"$2,758.52",$0.00,"$7,737.34",$806.97,$447.10,$0.00,"$1,254.07",$585.96,$324.65,$432.13,"$1,342.74","$10,334.15","$18,036.22","$10,290.23",$24.40,$0.00,$5.47,$0.00,$14.05,$0.00,$43.92,"$18,036.22","$12,879.26",$899.25,$808.10,$0.00,$0.00,$0.00
IS 381,NYC GEOG DIST #22 - BROOKLYN ,"$6,574.69","$2,276.74","$4,904.14",$35.43,"$13,791.01","$1,082.26",$599.63,$0.00,"$1,681.89",$488.83,$270.84,$952.76,"$1,712.43","$17,185.34","$24,887.42","$16,331.11",$573.56,$0.00,$47.24,$0.00,$233.43,$0.00,$854.22,"$24,887.42","$16,303.69","$6,770.30",$759.68,$0.00,$0.00,$0.00
JAMES MADISON HIGH SCHOOL,NYC GEOG DIST #22 - BROOKLYN ,"$4,978.80","$1,136.35","$3,388.11",$12.74,"$9,515.99",$509.72,$282.41,$0.00,$792.13,$519.93,$288.07,$617.37,"$1,425.38","$11,733.51","$19,435.58","$10,926.82",$639.74,$0.00,$27.77,$0.00,$121.42,$17.77,$806.69,"$19,435.58","$11,173.37","$3,472.74",$777.21,$0.00,$0.00,$0.00
JHS 14 SHELL BANK,NYC GEOG DIST #22 - BROOKLYN ,"$7,901.56","$3,999.98","$6,594.06",$0.00,"$18,495.60",$784.94,$434.90,$0.00,"$1,219.84",$561.73,$311.23,$546.52,"$1,419.48","$21,134.92","$28,837.00","$19,316.00",$814.93,$0.00,$52.95,$0.00,$852.69,$98.35,"$1,818.92","$28,837.00","$36,996.18","$4,268.83",$872.95,$0.00,$0.00,$0.00
JHS 234 ARTHUR W CUNNINGHAM,NYC GEOG DIST #22 - BROOKLYN ,"$5,942.18","$1,436.62","$4,088.23",$0.00,"$11,467.03",$401.99,$222.72,$0.00,$624.71,$232.79,$128.98,$421.20,$782.96,"$12,874.71","$20,576.79","$11,912.51",$645.03,$0.00,$18.12,$0.00,$252.26,$46.79,$962.20,"$20,576.79","$21,307.98","$4,579.08",$361.77,$0.00,$0.00,$0.00
JHS 278 MARINE PARK,NYC GEOG DIST #22 - BROOKLYN ,"$7,149.12","$1,746.66","$4,928.71",$35.76,"$13,860.25",$491.87,$272.52,$0.00,$764.38,$414.64,$229.73,$335.16,$979.53,"$15,604.17","$23,306.25","$14,681.97",$651.47,$0.00,$8.83,$0.00,$193.38,$68.52,$922.20,"$23,306.25","$32,069.45","$4,547.59",$580.48,$0.00,$0.00,$0.00
JHS 78 ROY H MANN,NYC GEOG DIST #22 - BROOKLYN ,"$6,934.33","$2,839.97","$5,415.46",$0.00,"$15,189.75",$766.12,$424.47,$0.00,"$1,190.60",$686.24,$380.21,$569.30,"$1,635.76","$18,016.11","$25,718.19","$16,361.92",$969.63,$0.00,$24.38,$0.00,$489.72,$170.46,"$1,654.18","$25,718.19","$23,991.13","$5,065.25","$1,066.46",$0.00,$0.00,$0.00
LEON M GOLDSTEIN HIGH SCH-SCIENCES,NYC GEOG DIST #22 - BROOKLYN ,"$4,955.27","$1,795.62","$3,740.33",$4.14,"$10,495.36",$409.79,$227.05,$0.00,$636.84,$406.49,$225.22,$146.31,$778.03,"$11,910.23","$19,612.30","$11,534.94",$0.00,$0.00,$0.00,$0.00,$282.62,$92.66,$375.28,"$19,612.30","$16,438.96","$153,129.80",$631.71,$0.00,$0.00,$0.00
MIDWOOD HIGH SCHOOL,NYC GEOG DIST #22 - BROOKLYN ,"$4,413.01",$720.09,"$2,844.00",$13.55,"$7,990.64",$475.37,$263.38,$0.00,$738.75,$482.23,$267.18,$527.34,"$1,276.75","$10,006.13","$17,708.21","$9,282.84",$626.60,$0.00,$2.98,$6.48,$50.53,$36.70,$723.29,"$17,708.21","$9,789.13","$6,765.76",$728.69,$0.00,$0.00,$0.00
