School,District,A1. Classroom Salaries,A2. Other Instructional Salaries,A3. Instructional Benefits,A4. Professional Development,GROUP A TOTAL,B1. School Administrative Salaries,B2. School Administrative Benefits,B3. Other School Administrative Expenditures,GROUP B TOTAL,C1. All Other Salaries,C2. All Other Benefits,C3. All Other Non-personnel Expenditures,GROUP C TOTAL,D. Total School Level (A + B + C),I. Total Spending (D + H),J. Total School Level Local/State Spending,K1. Federal Title I Part A,K2. Federal Title II Part A,K3. Federal Title III Part A,K4. Federal Title IV Part A,K5. IDEA,K6. All Other Federal,GROUP K TOTAL,N. Total District and School Spending (J + K + L + M),O. Special Education,P. ELL/MLL Services,Q. Pupil Services,R. Community Schools Programs,S. BOCES Services,T. Prekindergarten
ACAD FOR EXCELLENCE-ARTS,NYC GEOG DIST #28 - QUEENS ,"$5,786.70","$2,820.59","$4,768.87",$4.30,"$13,380.46","$1,388.33",$769.21,$0.00,"$2,157.54",$0.00,$0.00,$151.83,$151.83,"$15,689.83","$23,391.90","$15,613.62",$0.00,$0.00,$10.87,$0.00,$65.33,$0.00,$76.20,"$23,391.90","$25,564.30",$757.33,$0.00,$0.00,$0.00,"$15,548.75"
CATHERINE & COUNT BASIE MS 72,NYC GEOG DIST #28 - QUEENS ,"$8,771.96","$2,774.51","$6,397.33",$187.16,"$18,130.96",$590.73,$327.29,$0.00,$918.02,"$1,085.44",$601.39,"$1,003.56","$2,690.40","$21,739.39","$29,441.47","$20,663.44",$783.89,$0.00,$14.90,$0.00,$226.22,$50.94,"$1,075.95","$29,441.47","$24,796.52","$4,267.82","$2,172.23",$485.39,$0.00,$0.00
EMERSON SCHOOL (THE),NYC GEOG DIST #28 - QUEENS ,"$6,981.99","$2,058.25","$5,008.76",$99.35,"$14,148.35",$957.38,$530.44,$0.00,"$1,487.82",$778.63,$431.40,$564.90,"$1,774.93","$17,411.09","$25,113.17","$16,705.73",$544.76,$0.00,$43.86,$116.75,$0.00,$0.00,$705.37,"$25,113.17","$19,320.43","$6,389.81","$1,210.02",$0.00,$0.00,$0.00
FOREST HILLS HIGH SCHOOL,NYC GEOG DIST #28 - QUEENS ,"$5,054.15",$777.46,"$3,231.01",$9.83,"$9,072.46",$446.91,$247.61,$0.00,$694.52,$485.88,$269.20,$300.40,"$1,055.49","$10,822.46","$18,524.54","$10,363.37",$374.17,$0.00,$13.01,$0.00,$35.46,$36.45,$459.09,"$18,524.54","$10,202.38","$6,877.62",$713.62,$0.00,$0.00,$0.00
HIGH SCHOOL FOR COMMUNITY LEADERSHIP,NYC GEOG DIST #28 - QUEENS ,"$4,796.45",$982.38,"$3,201.77",$26.14,"$9,006.75",$365.73,$202.63,$0.00,$568.36,$419.06,$232.18,"$2,444.34","$3,095.59","$12,670.70","$20,372.77","$12,147.37",$451.07,$0.00,$42.88,$0.00,$29.37,$0.00,$523.32,"$20,372.77","$7,226.25","$4,937.09",$651.24,$0.00,$0.00,$0.00
HILLCREST HIGH SCHOOL,NYC GEOG DIST #28 - QUEENS ,"$5,079.32","$1,091.31","$3,418.84",$2.25,"$9,591.71",$599.74,$332.29,$0.00,$932.02,$505.79,$280.23,$444.75,"$1,230.78","$11,754.51","$19,456.59","$11,149.46",$454.91,$0.00,$35.92,$9.71,$57.44,$47.08,$605.05,"$19,456.59","$13,492.91","$7,149.02",$758.53,$0.00,$0.00,$0.00
HILLSIDE ARTS & LETTERS ACADEMY,NYC GEOG DIST #28 - QUEENS ,"$5,402.52","$1,461.60","$3,803.07",$69.66,"$10,736.85",$994.60,$551.06,$0.00,"$1,545.66",$843.42,$467.30,$975.73,"$2,286.46","$14,568.97","$22,271.05","$14,014.31",$500.22,$0.00,$35.13,$0.00,$19.30,$0.00,$554.65,"$22,271.05","$8,710.26","$5,724.55","$1,310.73",$0.00,$0.00,$0.00
HS-LAW ENFORCEMENT & PUB SAFETY,NYC GEOG DIST #28 - QUEENS ,"$5,770.80","$1,087.42","$3,799.81",$20.15,"$10,678.18","$1,317.46",$729.94,$0.00,"$2,047.40",$709.89,$393.31,$395.56,"$1,498.76","$14,224.34","$21,926.42","$13,685.73",$507.06,$0.00,$0.00,$0.00,$31.56,$0.00,$538.61,"$21,926.42","$8,697.13","$11,059.06","$1,103.20",$0.00,$0.00,$0.00
JAMAICA CHILDREN'S SCHOOL,NYC GEOG DIST #28 - QUEENS ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JAMAICA GATEWAY TO THE SCIENCES,NYC GEOG DIST #28 - QUEENS ,"$4,588.45","$1,174.12","$3,192.76",$18.11,"$8,973.44",$680.74,$377.16,$0.00,"$1,057.91",$765.12,$423.91,$753.84,"$1,942.87","$11,974.22","$19,676.30","$11,470.20",$478.76,$0.00,$25.26,$0.00,$0.00,$0.00,$504.02,"$19,676.30","$8,687.29","$3,124.34","$1,189.03",$0.00,$0.00,$0.00
