School,District,A1. Classroom Salaries,A2. Other Instructional Salaries,A3. Instructional Benefits,A4. Professional Development,GROUP A TOTAL,B1. School Administrative Salaries,B2. School Administrative Benefits,B3. Other School Administrative Expenditures,GROUP B TOTAL,C1. All Other Salaries,C2. All Other Benefits,C3. All Other Non-personnel Expenditures,GROUP C TOTAL,D. Total School Level (A + B + C),I. Total Spending (D + H),J. Total School Level Local/State Spending,K1. Federal Title I Part A,K2. Federal Title II Part A,K3. Federal Title III Part A,K4. Federal Title IV Part A,K5. IDEA,K6. All Other Federal,GROUP K TOTAL,N. Total District and School Spending (J + K + L + M),O. Special Education,P. ELL/MLL Services,Q. Pupil Services,R. Community Schools Programs,S. BOCES Services,T. Prekindergarten
BOERUM HILL SCHOOL FOR INTERNATIONAL,NYC GEOG DIST #15 - BROOKLYN ,"$5,429.87","$1,495.90","$3,837.23",$72.76,"$10,835.76",$759.27,$420.67,$0.00,"$1,179.94",$340.90,$188.88,$385.39,$915.18,"$12,930.88","$20,632.95","$12,731.34",$48.92,$0.00,$21.37,$8.28,$64.00,$56.97,$199.53,"$20,632.95","$9,492.61","$5,092.93",$529.78,$0.00,$0.00,$0.00
BROOKLYN COLLABORATIVE STUDIES,NYC GEOG DIST #15 - BROOKLYN ,"$7,278.94","$2,014.91","$5,149.27",$22.71,"$14,465.83",$600.96,$332.96,$0.00,$933.92,$912.05,$505.32,$448.86,"$1,866.24","$17,265.99","$24,968.07","$15,972.08",$596.19,$0.00,$17.87,$166.88,$512.97,$0.00,"$1,293.92","$24,968.07","$17,515.36","$4,463.30","$1,224.98",$0.00,$0.00,$0.00
BROOKLYN FRONTIERS HIGH SCHOOL,NYC GEOG DIST #15 - BROOKLYN ,"$11,047.44",$872.12,"$6,604.04",$0.00,"$18,523.60","$2,681.95","$1,485.94",$0.00,"$4,167.89",$639.16,$354.12,"$1,912.17","$2,905.46","$25,596.95","$33,299.03","$24,324.09",$832.56,$0.00,$0.00,$440.29,$0.00,$0.00,"$1,272.85","$33,299.03","$11,271.67",$303.75,$613.03,$0.00,$0.00,$0.00
BROOKLYN HIGH SCHOOL OF THE ARTS,NYC GEOG DIST #15 - BROOKLYN ,"$5,563.01",$967.39,"$3,618.17",$9.49,"$10,158.07",$760.60,$421.41,$0.00,"$1,182.00",$631.51,$349.89,"$1,333.06","$2,314.46","$13,654.53","$21,356.61","$13,109.76",$538.44,$0.00,$0.00,$6.33,$0.00,$0.00,$544.77,"$21,356.61","$8,676.21","$56,623.70",$880.27,$0.00,$0.00,$0.00
BROOKLYN NEW SCHOOL-PS 146 (THE),NYC GEOG DIST #15 - BROOKLYN ,"$6,888.11","$3,810.86","$5,927.78",$20.83,"$16,647.58",$412.45,$228.52,$0.00,$640.96,$472.85,$261.98,$127.02,$861.85,"$18,150.39","$25,852.46","$17,120.51",$5.57,$106.10,$4.65,$46.22,$867.32,$0.00,"$1,029.88","$25,852.46","$27,622.97","$10,921.86",$734.83,$0.00,$0.00,"$14,812.89"
COBBLE HILL SCHOOL OF AMERICAN STUD,NYC GEOG DIST #15 - BROOKLYN ,"$5,651.30","$1,653.74","$4,047.36",$120.21,"$11,472.61","$1,017.08",$563.51,$0.00,"$1,580.59",$790.16,$437.79,"$1,397.77","$2,625.72","$15,678.92","$23,381.00","$14,177.44",$775.80,$0.00,$17.51,$10.27,$359.44,$338.46,"$1,501.48","$23,381.00","$16,201.68","$1,795.64","$1,172.71",$817.11,$0.00,$0.00
CYBERARTS STUDIO ACADEMY,NYC GEOG DIST #15 - BROOKLYN ,"$6,103.63","$2,026.77","$4,504.66",$342.36,"$12,977.43","$1,302.08",$721.42,$0.00,"$2,023.51",$244.16,$135.28,"$1,369.85","$1,749.29","$16,750.23","$24,452.30","$15,756.80",$601.44,$0.00,$0.00,$22.73,$49.71,$319.55,$993.42,"$24,452.30","$13,989.80","$4,833.57",$379.44,$0.00,$0.00,$0.00
DIGITAL ARTS AND CINEMA HS,NYC GEOG DIST #15 - BROOKLYN ,"$6,664.94","$1,733.45","$4,653.13",$172.93,"$13,224.44","$1,161.88",$643.74,$0.00,"$1,805.63",$476.17,$263.82,"$1,661.31","$2,401.31","$17,431.39","$25,133.47","$16,240.81",$599.27,$0.00,$0.00,$137.88,$453.42,$0.00,"$1,190.57","$25,133.47","$16,763.19","$114,739.00",$740.00,$0.00,$0.00,$0.00
IS 136 CHARLES O DEWEY,NYC GEOG DIST #15 - BROOKLYN ,"$8,406.40","$1,316.52","$5,386.99",$36.93,"$15,146.85",$815.85,$452.02,$0.00,"$1,267.87",$554.64,$307.30,"$1,078.02","$1,939.96","$18,354.68","$26,056.76","$17,172.73",$848.53,$0.00,$31.06,$11.70,$290.67,$0.00,"$1,181.95","$26,056.76","$16,222.56","$7,044.13",$701.87,$0.00,$0.00,$0.00
JHS 88 PETER ROUGET,NYC GEOG DIST #15 - BROOKLYN ,"$5,967.43","$1,940.74","$4,381.53",$130.66,"$12,420.35",$608.96,$337.40,$0.00,$946.36,$469.08,$259.89,$647.30,"$1,376.27","$14,742.99","$22,445.06","$13,745.58",$638.03,$0.00,$12.24,$4.13,$343.01,$0.00,$997.41,"$22,445.06","$17,467.12","$4,686.52",$677.98,$0.00,$0.00,$0.00
