School,District,A1. Classroom Salaries,A2. Other Instructional Salaries,A3. Instructional Benefits,A4. Professional Development,GROUP A TOTAL,B1. School Administrative Salaries,B2. School Administrative Benefits,B3. Other School Administrative Expenditures,GROUP B TOTAL,C1. All Other Salaries,C2. All Other Benefits,C3. All Other Non-personnel Expenditures,GROUP C TOTAL,D. Total School Level (A + B + C),I. Total Spending (D + H),J. Total School Level Local/State Spending,K1. Federal Title I Part A,K2. Federal Title II Part A,K3. Federal Title III Part A,K4. Federal Title IV Part A,K5. IDEA,K6. All Other Federal,GROUP K TOTAL,N. Total District and School Spending (J + K + L + M),O. Special Education,P. ELL/MLL Services,Q. Pupil Services,R. Community Schools Programs,S. BOCES Services,T. Prekindergarten
BARD HIGH SCHOOL EARLY COLLEGE,NYC GEOG DIST # 1 - MANHATTAN,"$5,461.26",$899.46,"$3,524.16",$10.73,"$9,895.61",$747.79,$414.31,$0.00,"$1,162.10",$501.20,$277.69,$231.45,"$1,010.34","$12,068.05","$19,770.12","$12,031.97",$16.57,$0.00,$0.00,$0.00,$19.50,$0.00,$36.07,"$19,770.12","$14,572.23",$0.00,$778.89,$0.00,$0.00,$0.00
CASCADES HIGH SCHOOL,NYC GEOG DIST # 1 - MANHATTAN,"$7,074.65","$1,627.23","$4,821.29",$34.97,"$13,558.15","$1,721.14",$953.60,$0.00,"$2,674.74","$1,635.12",$905.94,$709.37,"$3,250.42","$19,483.32","$27,185.40","$18,563.73",$919.59,$0.00,$0.00,$0.00,$0.00,$0.00,$919.59,"$27,185.40","$8,087.76","$44,704.00","$2,001.50",$0.00,$0.00,$0.00
CHILDREN'S WORKSHOP SCHOOL (THE),NYC GEOG DIST # 1 - MANHATTAN,"$7,288.24","$2,431.35","$5,385.15",$38.27,"$15,143.01",$517.12,$286.51,$0.00,$803.64,$417.08,$231.08,$172.18,$820.34,"$16,766.99","$24,469.07","$16,214.15",$60.95,$61.52,$1.54,$0.00,$428.83,$0.00,$552.85,"$24,469.07","$19,733.30","$10,608.64",$648.16,$0.00,$0.00,"$14,633.53"
EARTH SCHOOL,NYC GEOG DIST # 1 - MANHATTAN,"$7,067.50","$2,825.52","$5,481.24",$15.24,"$15,389.50",$435.96,$241.54,$0.00,$677.51,$180.15,$99.81,$242.48,$522.44,"$16,589.45","$24,291.53","$16,202.67",$61.07,$138.89,$7.32,$0.00,$179.50,$0.00,$386.79,"$24,291.53","$24,364.84","$3,739.90",$279.97,$0.00,$0.00,"$13,562.94"
EAST SIDE COMMUNITY SCHOOL,NYC GEOG DIST # 1 - MANHATTAN,"$6,223.54","$1,723.69","$4,403.17",$3.69,"$12,354.09",$646.17,$358.01,$0.00,"$1,004.18",$566.85,$314.06,$610.32,"$1,491.24","$14,849.51","$22,551.59","$14,364.96",$44.92,$0.00,$2.87,$0.00,$314.83,$121.94,$484.56,"$22,551.59","$12,508.43","$29,384.88",$880.92,$0.00,$0.00,$0.00
EAST VILLAGE COMMUNITY SCHOOL (THE),NYC GEOG DIST # 1 - MANHATTAN,"$5,919.34","$2,258.99","$4,531.21",$54.20,"$12,763.75",$904.75,$501.28,$0.00,"$1,406.04",$334.16,$185.14,$218.90,$738.21,"$14,907.99","$22,610.07","$14,696.70",$21.53,$0.00,$0.23,$0.00,$189.53,$0.00,$211.29,"$22,610.07","$31,317.62","$6,288.20",$519.30,$0.00,$0.00,"$13,464.00"
FORSYTHE SATELLITE ACADEMY,NYC GEOG DIST # 1 - MANHATTAN,"$7,234.82","$1,725.97","$4,964.73",$323.72,"$14,249.23","$1,639.43",$908.33,$0.00,"$2,547.77","$1,061.24",$587.98,"$1,726.86","$3,376.08","$20,173.08","$27,875.16","$19,087.79",$666.66,$0.00,$0.00,$418.62,$0.00,$0.00,"$1,085.28","$27,875.16","$6,606.75","$18,766.36","$1,649.21",$0.00,$0.00,$0.00
LOWER EAST SIDE PREP HIGH SCHOOL,NYC GEOG DIST # 1 - MANHATTAN,"$5,763.98","$2,091.89","$4,352.55",$98.80,"$12,307.22",$709.58,$393.14,$0.00,"$1,102.72","$1,023.31",$566.96,"$1,854.32","$3,444.59","$16,854.54","$24,556.62","$15,742.27",$603.85,$0.00,$76.22,$266.18,$0.00,$166.01,"$1,112.27","$24,556.62","$5,551.59","$8,330.99","$1,371.87",$0.00,$0.00,$0.00
MARTA VALLE HIGH SCHOOL,NYC GEOG DIST # 1 - MANHATTAN,"$8,263.01","$3,216.04","$6,359.98",$346.31,"$18,185.34","$1,362.83",$755.07,$0.00,"$2,117.91","$1,209.83",$670.31,"$1,198.40","$3,078.54","$23,381.80","$31,083.87","$21,052.15","$1,126.89",$0.00,$0.00,$544.58,$461.19,$196.96,"$2,329.64","$31,083.87","$13,739.17","$29,713.38","$1,276.63",$0.00,$0.00,$0.00
NEIGHBORHOOD SCHOOL,NYC GEOG DIST # 1 - MANHATTAN,"$6,987.69","$2,980.78","$5,523.04",$28.58,"$15,520.09",$489.56,$271.24,$0.00,$760.80,$347.72,$192.65,$356.00,$896.37,"$17,177.27","$24,879.35","$16,619.19",$48.80,$73.90,$7.99,$0.00,$427.38,$0.00,$558.08,"$24,879.35","$28,235.96","$16,465.75",$540.37,$0.00,$0.00,"$14,254.50"
