School,District,A1. Classroom Salaries,A2. Other Instructional Salaries,A3. Instructional Benefits,A4. Professional Development,GROUP A TOTAL,B1. School Administrative Salaries,B2. School Administrative Benefits,B3. Other School Administrative Expenditures,GROUP B TOTAL,C1. All Other Salaries,C2. All Other Benefits,C3. All Other Non-personnel Expenditures,GROUP C TOTAL,D. Total School Level (A + B + C),I. Total Spending (D + H),J. Total School Level Local/State Spending,K1. Federal Title I Part A,K2. Federal Title II Part A,K3. Federal Title III Part A,K4. Federal Title IV Part A,K5. IDEA,K6. All Other Federal,GROUP K TOTAL,N. Total District and School Spending (J + K + L + M),O. Special Education,P. ELL/MLL Services,Q. Pupil Services,R. Community Schools Programs,S. BOCES Services,T. Prekindergarten
BOYS AND GIRLS HIGH SCHOOL,NYC GEOG DIST #16 - BROOKLYN ,"$7,882.30","$2,785.42","$5,910.46",$22.90,"$16,601.08","$1,517.05",$840.53,$0.00,"$2,357.58","$1,639.94",$908.61,"$2,079.96","$4,628.51","$23,587.18","$31,289.26","$21,372.60","$1,002.79",$0.00,$0.00,$13.95,$836.60,$361.22,"$2,214.58","$31,289.26","$15,460.88","$14,502.52","$3,087.89","$2,814.97",$0.00,$0.00
BRIGHTER CHOICE COMMUNITY SCHOOL,NYC GEOG DIST #16 - BROOKLYN ,"$5,575.25","$2,642.28","$4,552.93",$12.78,"$12,783.24",$866.71,$480.20,$0.00,"$1,346.92",$980.90,$543.47,$491.48,"$2,015.85","$16,146.01","$23,848.09","$14,789.93",$772.96,$0.00,$0.00,$19.17,$563.95,$0.00,"$1,356.08","$23,848.09","$17,940.87","$35,528.85","$1,524.37",$0.00,$0.00,"$15,112.65"
BROOKLYN BROWNSTONE SCHOOL,NYC GEOG DIST #16 - BROOKLYN ,"$6,377.04","$1,872.93","$4,570.90",$245.83,"$13,066.71",$439.24,$243.36,$0.00,$682.60,$370.66,$205.36,$822.77,"$1,398.79","$15,148.11","$22,850.19","$14,544.42",$491.26,$57.83,$0.00,$20.83,$33.77,$0.00,$603.69,"$22,850.19","$18,247.74",$0.00,$576.02,$0.00,$0.00,"$12,842.17"
BROOKLYN GREEN SCHOOL (THE),NYC GEOG DIST #16 - BROOKLYN ,"$8,576.82","$4,805.02","$7,414.20",$181.82,"$20,977.89","$2,990.02","$1,656.61",$0.00,"$4,646.66","$1,576.89",$873.66,"$2,309.95","$4,760.52","$30,385.07","$38,087.16","$28,810.05","$1,328.34",$0.00,$0.00,$113.64,$133.02,$0.00,"$1,575.02","$38,087.16","$16,823.88",$0.00,"$2,450.57",$0.00,$0.00,$0.00
BROOKLYN HIGH SCHOOL-LAW AND TECH,NYC GEOG DIST #16 - BROOKLYN ,"$5,306.65","$1,281.93","$3,650.41",$65.11,"$10,304.10",$760.31,$421.25,$0.00,"$1,181.56",$465.07,$257.67,$777.11,"$1,499.86","$12,985.53","$20,687.60","$12,249.75",$667.83,$0.00,$0.00,$65.09,$2.86,$0.00,$735.78,"$20,687.60","$12,950.83","$8,096.53",$702.26,$0.00,$0.00,$0.00
BROOKYLN ACAD OF GLOBAL FINANCE (THE,NYC GEOG DIST #16 - BROOKLYN ,"$8,528.94","$2,057.73","$5,865.55",$392.33,"$16,844.55","$2,760.19","$1,529.28",$0.00,"$4,289.47","$1,120.22",$620.65,"$4,872.86","$6,613.75","$27,747.79","$35,449.86","$26,457.26","$1,118.41",$0.00,$0.00,$56.07,$0.00,$116.02,"$1,290.51","$35,449.86","$15,895.37",$57.60,"$5,098.45","$4,994.38",$0.00,$0.00
MADIBA PREP MIDDLE SCHOOL,NYC GEOG DIST #16 - BROOKLYN ,"$8,009.86","$3,778.46","$6,531.33",$131.41,"$18,451.07","$1,503.10",$832.79,$0.00,"$2,335.89",$324.29,$179.67,"$1,452.43","$1,956.39","$22,743.35","$30,445.43","$20,677.26",$918.87,$0.00,$0.00,$19.45,$349.78,$777.97,"$2,066.08","$30,445.43","$19,813.78","$11,348.80","$1,038.43",$726.54,$0.00,$0.00
"MS 267 MATH, SCIENCE & TECHNOLOGY",NYC GEOG DIST #16 - BROOKLYN ,"$8,643.75","$3,779.83","$6,883.30",$0.00,"$19,306.88","$1,358.44",$752.64,$0.00,"$2,111.09",$282.97,$156.78,$443.98,$883.74,"$22,301.72","$30,003.79","$20,757.65","$1,028.63",$0.00,$0.00,$25.37,$487.98,$2.08,"$1,544.06","$30,003.79","$23,466.12","$5,531.27",$439.75,$0.00,$0.00,$0.00
MS 35 STEPHEN DECATUR,NYC GEOG DIST #16 - BROOKLYN ,"$6,709.03","$3,146.86","$5,460.67",$66.55,"$15,383.11","$1,399.58",$775.44,$0.00,"$2,175.01","$1,575.23",$872.75,$398.06,"$2,846.05","$20,404.18","$28,106.25","$18,574.56",$982.80,$0.00,$0.00,$14.47,$832.34,$0.00,"$1,829.61","$28,106.25","$18,216.64",$0.00,"$2,447.99",$0.00,$0.00,$0.00
NELSON MANDELA HIGH SCHOOL,NYC GEOG DIST #16 - BROOKLYN ,"$6,374.04","$1,227.08","$4,211.41",$93.15,"$11,905.68","$1,299.40",$719.93,$0.00,"$2,019.32",$742.72,$411.51,$616.03,"$1,770.26","$15,695.28","$23,397.36","$14,966.43",$705.14,$0.00,$0.00,$23.72,$0.00,$0.00,$728.85,"$23,397.36","$6,701.09",$0.00,"$1,154.23",$0.00,$0.00,$0.00
PS 21 CRISPUS ATTUCKS,NYC GEOG DIST #16 - BROOKLYN ,"$7,289.76","$2,157.33","$5,234.17",$8.27,"$14,689.55",$569.48,$315.52,$0.00,$885.01,$699.95,$387.81,$491.99,"$1,579.75","$17,154.30","$24,856.38","$15,600.15",$628.31,$210.76,$0.00,$72.08,$642.99,$0.00,"$1,554.15","$24,856.38","$17,702.77",$0.00,"$1,087.75",$0.00,$0.00,"$16,611.01"
