School,District,A1. Classroom Salaries,A2. Other Instructional Salaries,A3. Instructional Benefits,A4. Professional Development,GROUP A TOTAL,B1. School Administrative Salaries,B2. School Administrative Benefits,B3. Other School Administrative Expenditures,GROUP B TOTAL,C1. All Other Salaries,C2. All Other Benefits,C3. All Other Non-personnel Expenditures,GROUP C TOTAL,D. Total School Level (A + B + C),I. Total Spending (D + H),J. Total School Level Local/State Spending,K1. Federal Title I Part A,K2. Federal Title II Part A,K3. Federal Title III Part A,K4. Federal Title IV Part A,K5. IDEA,K6. All Other Federal,GROUP K TOTAL,N. Total District and School Spending (J + K + L + M),O. Special Education,P. ELL/MLL Services,Q. Pupil Services,R. Community Schools Programs,S. BOCES Services,T. Prekindergarten
ACAD FOR CONSERVATION & ENVIRONMENT,NYC GEOG DIST #18 - BROOKLYN ,"$6,045.11","$1,763.91","$4,326.59",$138.52,"$12,274.13",$641.65,$355.51,$0.00,$997.16,$435.54,$241.31,"$1,446.47","$2,123.32","$15,394.61","$23,096.69","$14,346.75",$716.02,$0.00,$62.56,$93.75,$175.53,$0.00,"$1,047.86","$23,096.69","$13,810.09","$7,435.19",$676.85,$0.00,$0.00,$0.00
BROOKLYN BRIDGE ACADEMY,NYC GEOG DIST #18 - BROOKLYN ,"$7,489.69","$1,601.19","$5,036.81",$61.29,"$14,188.99","$1,710.28",$947.58,$0.00,"$2,657.87",$782.10,$433.32,"$1,292.05","$2,507.48","$19,354.35","$27,056.43","$18,716.30",$638.05,$0.00,$0.00,$0.00,$0.00,$0.00,$638.05,"$27,056.43","$10,660.66",$269.77,"$1,215.42",$0.00,$0.00,$0.00
BROOKLYN COMMUNITY HS-EXCEL-EQUITY,NYC GEOG DIST #18 - BROOKLYN ,"$9,438.77","$2,313.16","$6,511.17",$46.48,"$18,309.59","$1,184.26",$656.14,$0.00,"$1,840.41","$2,112.58","$1,170.48","$3,773.03","$7,056.08","$27,206.08","$34,908.16","$25,224.14","$1,001.44",$0.00,$0.00,$0.00,$928.71,$51.78,"$1,981.94","$34,908.16","$20,154.98","$5,647.26","$5,845.95","$4,227.48",$0.00,$0.00
BROOKLYN SCIENCE AND ENGINEERING ACA,NYC GEOG DIST #18 - BROOKLYN ,"$5,785.82","$3,139.25","$4,944.94",$14.15,"$13,884.17",$978.24,$542.00,$0.00,"$1,520.24",$523.29,$289.93,"$1,108.37","$1,921.58","$17,326.00","$25,028.07","$16,250.06",$485.19,$0.00,$0.00,$0.00,$590.75,$0.00,"$1,075.93","$25,028.07","$38,232.92",$0.00,$813.21,$0.00,$0.00,$0.00
BROOKLYN THEATRE ARTS HIGH SCHOOL,NYC GEOG DIST #18 - BROOKLYN ,"$4,836.25","$1,731.14","$3,638.67",$0.00,"$10,206.06","$1,291.78",$715.71,$0.00,"$2,007.50",$675.83,$374.44,$897.24,"$1,947.51","$14,161.07","$21,863.14","$13,202.25",$783.61,$0.00,$0.00,$0.00,$121.68,$53.53,$958.82,"$21,863.14","$9,915.44",$0.00,$953.92,$0.00,$0.00,$0.00
CULTURAL ACADEMY-ARTS AND SCIENCES,NYC GEOG DIST #18 - BROOKLYN ,"$6,938.99","$2,212.49","$5,070.39",$46.64,"$14,268.51","$1,480.97",$820.53,$0.00,"$2,301.50",$734.84,$407.14,"$1,596.45","$2,738.43","$19,308.45","$27,010.53","$16,727.47","$1,058.19",$0.00,$73.77,$0.00,$418.63,"$1,030.38","$2,580.98","$27,010.53","$13,641.11","$12,846.68","$1,990.33",$993.04,$0.00,$0.00
EAST BROOKLYN COMMUNITY HIGH SCHOOL,NYC GEOG DIST #18 - BROOKLYN ,"$9,632.98","$1,534.21","$6,187.19",$43.65,"$17,398.04","$1,850.08","$1,025.04",$0.00,"$2,875.12",$781.35,$432.90,"$4,198.38","$5,412.64","$25,685.81","$33,387.89","$24,994.56",$691.25,$0.00,$0.00,$0.00,$0.00,$0.00,$691.25,"$33,387.89","$10,303.53","$9,500.27","$2,680.87","$2,818.65",$0.00,$0.00
HIGH SCHOOL FOR MEDICAL PROFESSIONS,NYC GEOG DIST #18 - BROOKLYN ,"$5,002.87","$1,408.35","$3,552.14",$107.95,"$10,071.32",$946.98,$524.67,$0.00,"$1,471.65",$567.80,$314.59,$730.28,"$1,612.67","$13,155.65","$20,857.72","$11,651.69",$789.42,$0.00,$0.00,$58.15,$477.00,$179.39,"$1,503.96","$20,857.72","$9,980.31","$5,622.67",$780.60,$0.00,$0.00,$0.00
HS FOR INNOVATION -ADVERTISING/MEDIA,NYC GEOG DIST #18 - BROOKLYN ,"$6,958.41","$1,882.01","$4,898.04",$0.00,"$13,738.47","$1,835.51","$1,016.97",$0.00,"$2,852.49",$501.73,$277.98,"$1,132.88","$1,912.60","$18,503.56","$26,205.64","$17,587.36",$668.52,$0.00,$23.00,$0.00,$89.00,$135.68,$916.20,"$26,205.64","$15,656.29","$4,692.27",$779.72,$0.00,$0.00,$0.00
IS 211 JOHN WILSON,NYC GEOG DIST #18 - BROOKLYN ,"$7,625.19","$3,819.91","$6,341.17",$4.29,"$17,790.57",$795.00,$440.47,$0.00,"$1,235.48",$950.60,$526.68,$400.65,"$1,877.92","$20,903.97","$28,606.04","$19,401.92",$885.01,$0.00,$18.74,$0.00,$370.32,$227.97,"$1,502.05","$28,606.04","$30,512.53","$10,976.67","$1,477.27",$0.00,$0.00,$0.00
IS 285 MEYER LEVIN,NYC GEOG DIST #18 - BROOKLYN ,"$7,241.23","$1,815.02","$5,017.62",$33.16,"$14,107.03",$401.09,$222.23,$0.00,$623.32,$288.65,$159.93,$324.45,$773.03,"$15,503.39","$23,205.46","$14,348.85",$725.01,$0.00,$8.16,$0.00,$306.28,$115.08,"$1,154.53","$23,205.46","$18,018.08","$3,804.36",$448.58,$0.00,$0.00,$0.00
IS 68 ISAAC BILDERSEE,NYC GEOG DIST #18 - BROOKLYN ,"$10,005.55","$3,955.28","$7,735.01",$0.00,"$21,695.85",$560.14,$310.35,$0.00,$870.49,$803.68,$445.28,"$1,074.58","$2,323.53","$24,889.87","$32,591.95","$22,715.84",$913.62,$0.00,$84.46,$510.11,$378.48,$287.35,"$2,174.03","$32,591.95","$26,160.38","$4,213.54","$1,723.19","$1,024.72",$0.00,$0.00
IT TAKES A VILLAGE ACADEMY,NYC GEOG DIST #18 - BROOKLYN ,"$6,701.48","$1,820.24","$4,721.47",$12.62,"$13,255.81",$712.87,$394.97,$0.00,"$1,107.84",$823.79,$456.42,$635.75,"$1,915.97","$16,279.61","$23,981.69","$14,522.63",$667.23,$0.00,$53.79,$0.00,$630.88,$405.08,"$1,756.98","$23,981.69","$20,124.14","$8,081.99","$1,619.54",$418.24,$0.00,$0.00
KURT HAHN EXPEDITIONARY LRNING SCH,NYC GEOG DIST #18 - BROOKLYN ,"$7,243.38","$2,102.48","$5,178.09",$4.21,"$14,528.16","$1,016.22",$563.04,$0.00,"$1,579.26",$912.25,$505.43,"$1,175.71","$2,593.39","$18,700.81","$26,402.89","$17,720.50",$720.31,$0.00,$0.00,$0.00,$259.99,$0.00,$980.31,"$26,402.89","$15,510.33","$5,007.24","$1,966.94",$549.26,$0.00,$0.00
MIDDLE SCHOOL FOR ART AND PHILOSOPHY,NYC GEOG DIST #18 - BROOKLYN ,"$9,876.00","$2,855.71","$7,054.01",$48.48,"$19,834.21",$905.53,$501.71,$0.00,"$1,407.25",$565.55,$313.34,"$1,844.90","$2,723.79","$23,965.26","$31,667.34","$21,411.19","$1,024.98",$0.00,$0.00,$0.00,$219.85,"$1,309.23","$2,554.06","$31,667.34","$21,747.35","$9,873.42","$2,014.84","$2,253.16",$0.00,$0.00
