School,District,A1. Classroom Salaries,A2. Other Instructional Salaries,A3. Instructional Benefits,A4. Professional Development,GROUP A TOTAL,B1. School Administrative Salaries,B2. School Administrative Benefits,B3. Other School Administrative Expenditures,GROUP B TOTAL,C1. All Other Salaries,C2. All Other Benefits,C3. All Other Non-personnel Expenditures,GROUP C TOTAL,D. Total School Level (A + B + C),I. Total Spending (D + H),J. Total School Level Local/State Spending,K1. Federal Title I Part A,K2. Federal Title II Part A,K3. Federal Title III Part A,K4. Federal Title IV Part A,K5. IDEA,K6. All Other Federal,GROUP K TOTAL,N. Total District and School Spending (J + K + L + M),O. Special Education,P. ELL/MLL Services,Q. Pupil Services,R. Community Schools Programs,S. BOCES Services,T. Prekindergarten
47 AMER SIGN LANG & ENG LOWER,NYC GEOG DIST # 2 - MANHATTAN,"$18,670.39","$5,424.41","$13,349.74","$712.64","$38,157.19","$1,533.99",$849.91,$0.00,"$2,383.90",$571.92,$316.87,$968.03,"$1,856.83","$42,397.92","$50,100.00","$41,678.69",$449.80,$0.00,$5.53,$0.00,$263.90,$0.00,$719.23,"$50,100.00","$38,983.54","$3,620.36",$888.80,$0.00,$0.00,"$22,596.00"
ACADEMY FOR SOFTWARE ENGINEERING,NYC GEOG DIST # 2 - MANHATTAN,"$5,814.34","$1,887.31","$4,267.10",$2.61,"$11,971.37",$734.12,$406.74,$0.00,"$1,140.86","$1,107.46",$613.59,"$1,113.51","$2,834.56","$15,946.80","$23,648.88","$14,798.98",$489.37,$0.00,$0.00,$0.00,$552.61,$105.84,"$1,147.82","$23,648.88","$12,663.32","$6,902.16","$1,567.96",$0.00,$0.00,$0.00
AMERICAN SIGN LANG & ENG SECONDAR,NYC GEOG DIST # 2 - MANHATTAN,"$8,975.69","$2,877.27","$6,567.14",$36.67,"$18,456.78","$2,187.97","$1,212.25",$0.00,"$3,400.22","$1,018.45",$564.27,$642.45,"$2,225.18","$24,082.19","$31,784.27","$23,573.68",$434.65,$0.00,$0.00,$0.00,$73.85,$0.00,$508.51,"$31,784.27","$16,128.45","$19,402.00","$1,582.73",$0.00,$0.00,$0.00
ART AND DESIGN HIGH SCHOOL,NYC GEOG DIST # 2 - MANHATTAN,"$5,435.69","$1,215.81","$3,685.27",$11.54,"$10,348.31",$726.38,$402.45,$0.00,"$1,128.83",$619.04,$342.98,$767.18,"$1,729.20","$13,206.34","$20,908.42","$12,887.62",$29.52,$0.00,$3.73,$0.00,$142.04,$143.43,$318.72,"$20,908.42","$9,602.79","$18,435.25",$820.83,$0.00,$0.00,$0.00
BALLET TECH/NYC PS FOR DANCE,NYC GEOG DIST # 2 - MANHATTAN,"$6,347.80","$1,272.99","$4,222.30",$0.00,"$11,843.10","$1,200.93",$665.38,$0.00,"$1,866.31",$666.61,$369.33,$765.03,"$1,800.98","$15,510.40","$23,212.48","$15,472.81",$21.95,$0.00,$15.63,$0.00,$0.00,$0.00,$37.58,"$23,212.48","$5,522.75","$36,836.25","$1,035.95",$0.00,$0.00,$0.00
BARUCH COLLEGE CAMPUS HIGH SCHOOL,NYC GEOG DIST # 2 - MANHATTAN,"$4,576.61",$937.04,"$3,054.84",$10.47,"$8,578.96",$858.32,$475.55,$0.00,"$1,333.87",$652.34,$361.43,$286.42,"$1,300.18","$11,213.02","$18,915.10","$11,185.92",$20.37,$0.00,$6.72,$0.00,$0.00,$0.00,$27.09,"$18,915.10","$14,564.46","$3,703.00","$1,013.76",$0.00,$0.00,$0.00
BATTERY PARK CITY SCHOOL,NYC GEOG DIST # 2 - MANHATTAN,"$6,030.40","$1,717.60","$4,292.79",$66.99,"$12,107.79",$476.41,$263.95,$0.00,$740.36,$415.47,$230.19,$362.42,"$1,008.08","$13,856.24","$21,558.31","$13,529.24",$7.48,$0.00,$23.58,$0.00,$295.93,$0.00,$327.00,"$21,558.31","$26,966.58","$4,322.07",$645.67,$0.00,$0.00,"$14,336.22"
BUSINESS OF SPORTS SCHOOL,NYC GEOG DIST # 2 - MANHATTAN,"$6,741.79","$1,446.72","$4,536.85",$78.46,"$12,803.82","$1,039.68",$576.03,$0.00,"$1,615.72","$1,041.09",$576.82,"$1,028.18","$2,646.09","$17,065.63","$24,767.71","$15,684.55",$564.81,$0.00,$28.50,$0.00,$451.27,$336.51,"$1,381.09","$24,767.71","$9,243.84","$10,657.16","$1,455.63",$0.00,$0.00,$0.00
CHELSEA CAREER AND TECH ED HS,NYC GEOG DIST # 2 - MANHATTAN,"$7,345.56","$1,141.78","$4,702.42",$69.53,"$13,259.29",$922.82,$511.29,$0.00,"$1,434.10","$1,045.76",$579.40,"$1,066.35","$2,691.51","$17,384.91","$25,086.99","$16,137.86",$571.45,$0.00,$0.00,$0.00,$484.75,$190.84,"$1,247.05","$25,086.99","$11,591.76","$9,171.83","$1,625.16",$0.00,$0.00,$0.00
CITY KNOLL MIDDLE SCHOOL,NYC GEOG DIST # 2 - MANHATTAN,"$7,285.76","$2,283.29","$5,301.74",$201.76,"$15,072.56","$1,618.99",$897.01,$0.00,"$2,516.00",$910.31,$504.36,"$1,167.12","$2,581.79","$20,170.36","$27,872.44","$19,426.81",$743.54,$0.00,$0.00,$0.00,$0.00,$0.00,$743.54,"$27,872.44","$11,903.84","$6,916.40","$1,414.67",$0.00,$0.00,$0.00
