School,District,A1. Classroom Salaries,A2. Other Instructional Salaries,A3. Instructional Benefits,A4. Professional Development,GROUP A TOTAL,B1. School Administrative Salaries,B2. School Administrative Benefits,B3. Other School Administrative Expenditures,GROUP B TOTAL,C1. All Other Salaries,C2. All Other Benefits,C3. All Other Non-personnel Expenditures,GROUP C TOTAL,D. Total School Level (A + B + C),I. Total Spending (D + H),J. Total School Level Local/State Spending,K1. Federal Title I Part A,K2. Federal Title II Part A,K3. Federal Title III Part A,K4. Federal Title IV Part A,K5. IDEA,K6. All Other Federal,GROUP K TOTAL,N. Total District and School Spending (J + K + L + M),O. Special Education,P. ELL/MLL Services,Q. Pupil Services,R. Community Schools Programs,S. BOCES Services,T. Prekindergarten
ACADEMY FOR LANGUAGE AND TECHNOLOGY,NYC GEOG DIST # 9 - BRONX ,"$5,477.32","$1,437.73","$3,831.29",$211.01,"$10,957.35",$945.72,$523.97,$0.00,"$1,469.69",$633.79,$351.15,"$1,947.59","$2,932.54","$15,359.59","$23,061.66","$14,064.68","$1,056.94",$0.00,$88.62,$18.87,$0.00,$130.47,"$1,294.90","$23,061.66","$9,532.05","$2,996.20",$860.68,$0.00,$0.00,$0.00
BRONX CENTER FOR SCI & MATH,NYC GEOG DIST # 9 - BRONX ,"$6,175.08","$1,217.15","$4,095.67",$21.38,"$11,509.28","$1,275.73",$706.82,$0.00,"$1,982.55",$751.36,$416.29,$442.29,"$1,609.94","$15,101.77","$22,803.85","$14,151.48",$866.61,$0.00,$0.00,$13.36,$24.12,$46.18,$950.29,"$22,803.85","$12,973.15","$7,061.65","$1,167.65",$0.00,$0.00,$0.00
BRONX COLLEGIATE ACADEMY,NYC GEOG DIST # 9 - BRONX ,"$5,904.99","$2,358.24","$4,578.25",$51.41,"$12,892.89","$1,564.43",$866.78,$0.00,"$2,431.21","$1,169.63",$648.04,"$2,801.34","$4,619.02","$19,943.13","$27,645.20","$18,547.27","$1,142.89",$0.00,$31.79,$15.36,$157.11,$48.70,"$1,395.85","$27,645.20","$15,847.59","$9,201.53","$2,860.50","$2,308.49",$0.00,$0.00
BRONX EARLY COL ACAD-TEACH/LEARN,NYC GEOG DIST # 9 - BRONX ,"$5,699.07","$1,099.81","$3,766.93",$179.11,"$10,744.93",$633.95,$351.24,$0.00,$985.19,$399.09,$221.12,"$2,470.73","$3,090.94","$14,821.06","$22,523.14","$13,637.21","$1,136.58",$0.00,$0.00,$0.00,$6.23,$41.03,"$1,183.84","$22,523.14","$10,267.68","$2,348.18","$1,612.29","$2,411.75",$0.00,$0.00
BRONX HIGH SCHOOL OF BUSINESS,NYC GEOG DIST # 9 - BRONX ,"$9,447.28","$2,192.21","$6,448.87",$156.00,"$18,244.36","$1,767.24",$979.14,$0.00,"$2,746.39","$1,905.60","$1,055.80","$3,434.71","$6,396.11","$27,386.87","$35,088.94","$25,535.80","$1,041.90",$0.00,$16.19,$21.82,$627.64,$143.50,"$1,851.06","$35,088.94","$10,520.70","$4,908.58","$4,275.56","$1,314.16",$0.00,$0.00
BRONX HS FOR MEDICAL SCIENCE,NYC GEOG DIST # 9 - BRONX ,"$7,348.63","$1,355.27","$4,822.40",$68.19,"$13,594.48","$1,511.30",$837.34,$0.00,"$2,348.64",$607.75,$336.72,$492.04,"$1,436.51","$17,379.63","$25,081.71","$16,386.65",$847.23,$0.00,$29.24,$13.95,$55.30,$47.26,$992.98,"$25,081.71","$5,917.07","$9,605.05",$944.47,$0.00,$0.00,$0.00
BRONX INTERNATIONAL HIGH SCHOOL,NYC GEOG DIST # 9 - BRONX ,"$7,098.41","$1,850.05","$4,957.90",$75.38,"$13,981.75","$1,121.43",$621.33,$0.00,"$1,742.77",$638.53,$353.78,"$1,949.72","$2,942.04","$18,666.56","$26,368.63","$17,185.57",$985.96,$0.00,$73.63,$0.00,$236.20,$185.20,"$1,480.99","$26,368.63","$40,493.71","$4,252.39",$973.78,$0.00,$0.00,$0.00
BRONX LEADERSHIP ACAD HIGH SCHOOL,NYC GEOG DIST # 9 - BRONX ,"$6,051.00","$2,161.41","$4,550.09",$24.91,"$12,787.41","$1,085.87",$601.63,$0.00,"$1,687.50","$1,365.67",$756.65,"$1,327.93","$3,450.26","$17,925.17","$25,627.25","$16,539.25","$1,149.47",$0.00,$25.62,$11.03,$161.57,$38.24,"$1,385.92","$25,627.25","$10,787.48","$5,177.19","$2,789.88","$1,550.57",$0.00,$0.00
"BRONX SCHOOL FOR LAW, GOV, JUSTICE",NYC GEOG DIST # 9 - BRONX ,"$6,404.90","$1,511.59","$4,386.14",$39.68,"$12,342.30",$785.10,$434.99,$0.00,"$1,220.09",$610.53,$338.26,$999.55,"$1,948.34","$15,510.73","$23,212.80","$14,613.38",$822.12,$0.00,$16.46,$6.92,$18.12,$33.73,$897.35,"$23,212.80","$14,777.84","$3,217.52",$948.79,$0.00,$0.00,$0.00
BRONX WRITING ACADEMY,NYC GEOG DIST # 9 - BRONX ,"$8,105.20","$1,932.77","$5,561.55",$88.83,"$15,688.35",$824.34,$456.73,$0.00,"$1,281.07",$984.39,$545.40,$466.75,"$1,996.55","$18,965.97","$26,668.05","$17,768.41","$1,037.03",$0.00,$27.04,$15.04,$111.62,$6.83,"$1,197.57","$26,668.05","$14,774.57","$6,208.12","$1,353.69",$0.00,$0.00,$0.00
CLAREMONT INTERNATIONAL HS,NYC GEOG DIST # 9 - BRONX ,"$6,537.31","$1,874.07","$4,660.33",$176.25,"$13,247.96","$1,241.07",$687.61,$0.00,"$1,928.68",$257.77,$142.82,"$1,615.37","$2,015.95","$17,192.60","$24,894.68","$15,713.07","$1,020.60",$0.00,$95.71,$293.76,$0.00,$69.45,"$1,479.53","$24,894.68","$3,860.04","$2,808.68",$400.58,$0.00,$0.00,$0.00
COMP MODEL SCH PROJECT MS 327,NYC GEOG DIST # 9 - BRONX ,"$5,645.91","$2,053.03","$4,265.61",$3.90,"$11,968.45",$674.82,$373.89,$0.00,"$1,048.71",$709.76,$393.25,$614.01,"$1,717.02","$14,734.19","$22,436.27","$13,470.97",$916.46,$0.00,$14.18,$8.21,$324.36,$0.00,"$1,263.22","$22,436.27","$10,058.26","$4,351.65","$1,103.01",$0.00,$0.00,$0.00
DREAMYARD PREPARATORY SCHOOL,NYC GEOG DIST # 9 - BRONX ,"$7,105.44","$1,521.79","$4,779.92",$240.36,"$13,647.52","$1,152.77",$638.69,$0.00,"$1,791.47","$1,203.13",$666.60,"$1,988.31","$3,858.04","$19,297.04","$26,999.11","$18,048.08","$1,025.50",$0.00,$40.62,$127.09,$0.00,$55.73,"$1,248.96","$26,999.11","$7,956.15","$4,071.61","$3,189.12","$3,679.11",$0.00,$0.00
EAGLE ACADEMY FOR YOUNG MEN,NYC GEOG DIST # 9 - BRONX ,"$5,617.39","$2,297.80","$4,385.42",$182.33,"$12,482.94","$1,054.82",$584.42,$0.00,"$1,639.24",$499.69,$276.85,$786.56,"$1,563.10","$15,685.29","$23,387.37","$14,242.29",$763.78,$0.00,$22.37,$274.66,$337.66,$44.52,"$1,443.00","$23,387.37","$12,272.24","$11,355.48",$776.55,$0.00,$0.00,$0.00
