School,District,A1. Classroom Salaries,A2. Other Instructional Salaries,A3. Instructional Benefits,A4. Professional Development,GROUP A TOTAL,B1. School Administrative Salaries,B2. School Administrative Benefits,B3. Other School Administrative Expenditures,GROUP B TOTAL,C1. All Other Salaries,C2. All Other Benefits,C3. All Other Non-personnel Expenditures,GROUP C TOTAL,D. Total School Level (A + B + C),I. Total Spending (D + H),J. Total School Level Local/State Spending,K1. Federal Title I Part A,K2. Federal Title II Part A,K3. Federal Title III Part A,K4. Federal Title IV Part A,K5. IDEA,K6. All Other Federal,GROUP K TOTAL,N. Total District and School Spending (J + K + L + M),O. Special Education,P. ELL/MLL Services,Q. Pupil Services,R. Community Schools Programs,S. BOCES Services,T. Prekindergarten
BELLAIRE SCHOOL (THE),NYC GEOG DIST #29 - QUEENS ,"$6,727.61","$2,347.69","$5,028.18",$22.81,"$14,126.29",$579.17,$320.89,$0.00,$900.06,$363.98,$201.66,$333.93,$899.57,"$15,925.93","$23,628.00","$15,092.73",$489.95,$107.12,$31.04,$0.00,$204.48,$0.59,$833.19,"$23,628.00","$25,568.22","$6,240.50",$565.64,$0.00,$0.00,"$20,322.88"
BENJAMIN FRANKLIN HS-FINANCE-INFO,NYC GEOG DIST #29 - QUEENS ,"$6,500.85","$1,147.98","$4,237.84",$83.88,"$11,970.54",$789.66,$437.51,$0.00,"$1,227.18",$379.07,$210.02,"$1,116.74","$1,705.84","$14,903.56","$22,605.64","$14,246.18",$490.92,$0.00,$6.57,$0.00,$25.39,$134.49,$657.38,"$22,605.64","$14,622.24","$6,761.26",$394.56,$0.00,$0.00,$0.00
CAMBRIA HEIGHTS ACADEMY,NYC GEOG DIST #29 - QUEENS ,"$6,018.18",$989.51,"$3,882.62",$97.78,"$10,988.08","$1,174.07",$650.49,$0.00,"$1,824.56",$376.67,$208.69,$634.89,"$1,220.25","$14,032.90","$21,734.98","$13,476.31",$385.12,$0.00,$10.91,$0.00,$108.36,$52.20,$556.59,"$21,734.98","$9,198.57",$144.06,$354.17,$0.00,$0.00,$0.00
COLLABORATIVE ARTS MIDDLE SCHOOL,NYC GEOG DIST #29 - QUEENS ,"$6,221.04","$1,480.22","$4,266.89",$41.28,"$12,009.43","$1,244.60",$689.57,$0.00,"$1,934.17",$314.24,$174.10,$845.96,"$1,334.29","$15,277.90","$22,979.98","$14,552.31",$603.68,$0.00,$0.00,$0.00,$74.76,$47.14,$725.58,"$22,979.98","$12,790.10","$5,790.53",$488.34,$0.00,$0.00,$0.00
COMMUNITY VOICES MIDDLE SCHOOL,NYC GEOG DIST #29 - QUEENS ,"$6,225.20","$2,181.25","$4,657.60",$40.94,"$13,104.99",$750.91,$416.04,$0.00,"$1,166.95",$955.58,$529.44,"$1,072.01","$2,557.03","$16,828.98","$24,531.05","$16,306.52",$343.82,$0.00,$0.00,$0.00,$114.92,$63.71,$522.46,"$24,531.05","$14,754.93","$6,497.82","$1,485.02",$0.00,$0.00,$0.00
CYNTHIA JENKINS SCHOOL,NYC GEOG DIST #29 - QUEENS ,"$7,159.31","$2,628.99","$5,423.21",$0.00,"$15,211.51",$686.04,$380.10,$0.00,"$1,066.14",$572.38,$317.13,$97.52,$987.02,"$17,264.68","$24,966.76","$16,578.97",$588.46,$59.76,$0.00,$0.00,$36.19,$1.29,$685.71,"$24,966.76","$25,136.23","$26,481.93",$889.50,$0.00,$0.00,"$23,325.86"
EAGLE ACADEMY FOR YOUNG MEN III,NYC GEOG DIST #29 - QUEENS ,"$6,498.68","$1,977.85","$4,696.43",$17.41,"$13,190.38",$838.24,$464.43,$0.00,"$1,302.67",$592.47,$328.26,$880.12,"$1,800.85","$16,293.91","$23,995.98","$15,612.16",$469.98,$0.00,$0.00,$165.59,$46.19,$0.00,$681.75,"$23,995.98","$20,352.10",$0.00,$920.73,$0.00,$0.00,$0.00
EXCELSIOR PREP HIGH SCHOOL,NYC GEOG DIST #29 - QUEENS ,"$6,090.67",$732.80,"$3,780.55",$36.10,"$10,640.12",$862.82,$478.05,$0.00,"$1,340.87",$874.42,$484.47,$385.32,"$1,744.22","$13,725.20","$21,427.28","$13,163.96",$520.39,$0.00,$14.93,$0.00,$25.93,$0.00,$561.24,"$21,427.28","$10,588.89",$196.91,"$1,170.36",$0.00,$0.00,$0.00
GEORGE WASHINGTON CARVER HS,NYC GEOG DIST #29 - QUEENS ,"$6,443.19","$1,263.09","$4,269.68",$21.79,"$11,997.76","$1,472.01",$815.57,$0.00,"$2,287.58",$806.99,$447.11,$466.00,"$1,720.10","$16,005.44","$23,707.51","$15,187.34",$537.10,$0.00,$27.26,$0.00,$27.26,$226.47,$818.10,"$23,707.51","$15,892.64","$10,808.76","$1,254.10",$0.00,$0.00,$0.00
GORDON PARKS SCHOOL (THE),NYC GEOG DIST #29 - QUEENS ,"$5,994.96","$1,598.88","$4,207.38",$0.00,"$11,801.22",$570.36,$316.01,$0.00,$886.37,$273.33,$151.44,$122.44,$547.21,"$13,234.80","$20,936.88","$13,099.23",$13.94,$32.81,$4.05,$0.00,$84.37,$0.40,$135.57,"$20,936.88","$23,936.10","$21,098.67",$424.77,$0.00,$0.00,"$12,926.67"
