School,District,A1. Classroom Salaries,A2. Other Instructional Salaries,A3. Instructional Benefits,A4. Professional Development,GROUP A TOTAL,B1. School Administrative Salaries,B2. School Administrative Benefits,B3. Other School Administrative Expenditures,GROUP B TOTAL,C1. All Other Salaries,C2. All Other Benefits,C3. All Other Non-personnel Expenditures,GROUP C TOTAL,D. Total School Level (A + B + C),I. Total Spending (D + H),J. Total School Level Local/State Spending,K1. Federal Title I Part A,K2. Federal Title II Part A,K3. Federal Title III Part A,K4. Federal Title IV Part A,K5. IDEA,K6. All Other Federal,GROUP K TOTAL,N. Total District and School Spending (J + K + L + M),O. Special Education,P. ELL/MLL Services,Q. Pupil Services,R. Community Schools Programs,S. BOCES Services,T. Prekindergarten
ACADEMY-FINANCE & ENTERPRISE,NYC GEOG DIST #24 - QUEENS ,"$4,817.40",$716.66,"$3,066.15",$17.77,"$8,617.99",$934.57,$517.80,$0.00,"$1,452.37",$491.55,$272.34,$755.62,"$1,519.51","$11,589.87","$19,291.95","$11,033.13",$454.17,$0.00,$19.09,$0.00,$0.00,$83.48,$556.74,"$19,291.95","$9,825.45","$11,550.51",$763.89,$0.00,$0.00,$0.00
ACE ACADEMY FOR SCHOLARS,NYC GEOG DIST #24 - QUEENS ,"$4,907.57","$2,202.84","$3,939.53",$0.00,"$11,049.94",$484.68,$268.54,$0.00,$753.22,$126.14,$69.89,$536.70,$732.74,"$12,535.89","$20,237.96","$12,362.96",$23.07,$0.00,$25.11,$0.00,$124.74,$0.00,$172.93,"$20,237.96","$26,639.40","$4,497.11",$196.03,$0.00,$0.00,"$11,204.78"
AVIATION CAREER AND TECH ED HS,NYC GEOG DIST #24 - QUEENS ,"$6,155.67","$1,082.50","$4,010.32",$1.94,"$11,250.43",$613.06,$339.67,$0.00,$952.73,$407.50,$225.77,$336.90,$970.17,"$13,173.33","$20,875.40","$12,322.13",$388.23,$0.00,$5.74,$0.00,$51.68,$405.55,$851.20,"$20,875.40","$10,972.88","$12,877.63",$550.09,$0.00,$0.00,$0.00
BARD HIGH SCH EARLY COLLEGE QUEENS,NYC GEOG DIST #24 - QUEENS ,"$5,484.48",$322.13,"$3,217.16",$10.07,"$9,033.83",$677.04,$375.12,$0.00,"$1,052.16",$457.84,$253.67,$530.97,"$1,242.48","$11,328.47","$19,030.55","$11,323.79",$0.00,$0.00,$4.69,$0.00,$0.00,$0.00,$4.69,"$19,030.55","$19,110.91","$3,014.00",$711.51,$0.00,$0.00,$0.00
CHILDREN'S LAB SCHOOL (THE),NYC GEOG DIST #24 - QUEENS ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CIVIC LEADERSHIP ACADEMY,NYC GEOG DIST #24 - QUEENS ,"$4,987.58","$1,114.14","$3,380.66",$16.91,"$9,499.29",$743.23,$411.79,$0.00,"$1,155.02",$312.01,$172.87,$994.36,"$1,479.24","$12,133.55","$19,835.63","$11,526.07",$444.34,$0.00,$20.16,$0.00,$142.98,$0.00,$607.48,"$19,835.63","$10,480.03","$11,713.30",$484.88,$0.00,$0.00,$0.00
CORONA ARTS AND SCIENCES ACADEMY,NYC GEOG DIST #24 - QUEENS ,"$6,220.17","$1,425.69","$4,236.19",$140.61,"$12,022.65",$594.73,$329.51,$0.00,$924.25,$264.54,$146.57,$935.48,"$1,346.59","$14,293.49","$21,995.56","$13,573.55",$569.34,$0.00,$30.28,$0.00,$120.32,$0.00,$719.94,"$21,995.56","$16,601.38","$7,054.63",$411.11,$0.00,$0.00,$0.00
ELM TREE ELEMENTARY SCHOOL,NYC GEOG DIST #24 - QUEENS ,"$6,128.42","$1,552.62","$4,255.69",$20.49,"$11,957.23",$556.02,$308.06,$0.00,$864.09,$130.86,$72.50,"$1,114.23","$1,317.59","$14,138.91","$21,840.99","$13,693.39",$383.50,$0.00,$37.91,$0.00,$24.11,$0.00,$445.52,"$21,840.99","$15,684.10","$13,155.47",$203.36,$0.00,$0.00,"$13,959.86"
GROVER CLEVELAND HIGH SCHOOL,NYC GEOG DIST #24 - QUEENS ,"$6,174.86","$1,416.15","$4,205.81",$8.61,"$11,805.44",$843.77,$467.49,$0.00,"$1,311.25",$414.28,$229.53,$329.94,$973.76,"$14,090.45","$21,792.53","$13,287.39",$602.55,$0.00,$24.87,$0.00,$131.03,$44.60,$803.06,"$21,792.53","$11,645.88","$13,990.44",$598.83,$0.00,$0.00,$0.00
HELEN M MARSHALL SCHOOL,NYC GEOG DIST #24 - QUEENS ,"$6,529.12","$2,683.90","$5,104.48",$144.53,"$14,462.04",$706.71,$391.55,$0.00,"$1,098.26",$165.54,$91.72,$618.79,$876.06,"$16,436.37","$24,138.44","$15,403.90",$587.29,$0.00,$27.29,$0.00,$417.88,$0.00,"$1,032.47","$24,138.44","$26,310.61","$8,093.41",$257.27,$0.00,$0.00,$0.00
HIGH SCHOOL FOR ARTS & BUSINESS,NYC GEOG DIST #24 - QUEENS ,"$6,056.58","$1,137.67","$3,985.98",$0.00,"$11,180.23",$931.84,$516.29,$0.00,"$1,448.13",$406.12,$225.01,$234.01,$865.14,"$13,493.49","$21,195.57","$12,854.92",$455.34,$0.00,$16.04,$0.00,$14.93,$152.26,$638.58,"$21,195.57","$11,676.45","$12,551.70",$631.13,$0.00,$0.00,$0.00
HS-APPLIED COMMUNICATIONS,NYC GEOG DIST #24 - QUEENS ,"$5,670.98",$987.10,"$3,688.91",$24.68,"$10,371.67","$1,173.48",$650.17,$0.00,"$1,823.65",$425.23,$235.60,$470.09,"$1,130.92","$13,326.24","$21,028.32","$12,749.69",$511.99,$0.00,$18.48,$0.00,$46.07,$0.00,$576.55,"$21,028.32","$14,989.79","$6,246.59",$486.44,$0.00,$0.00,$0.00
INTERNATIONAL HS FOR HEALTH SCIENCES,NYC GEOG DIST #24 - QUEENS ,"$7,300.28","$1,561.48","$4,909.87",$56.51,"$13,828.15","$1,202.77",$666.39,$0.00,"$1,869.16",$677.77,$375.52,$933.48,"$1,986.77","$17,684.09","$25,386.17","$16,414.15",$780.49,$0.00,$121.26,$335.97,$32.21,$0.00,"$1,269.95","$25,386.17","$35,581.00","$4,098.04","$1,053.29",$0.00,$0.00,$0.00
INTNTL HIGH SCHOOL AT LA GUARDIA,NYC GEOG DIST #24 - QUEENS ,"$5,518.78","$1,450.15","$3,861.14",$14.83,"$10,844.90",$887.10,$491.50,$0.00,"$1,378.60",$319.62,$177.08,$938.75,"$1,435.45","$13,658.96","$21,361.03","$13,025.33",$557.03,$0.00,$76.60,$0.00,$0.00,$0.00,$633.63,"$21,361.03",$626.45,"$4,239.77",$344.02,$0.00,$0.00,$0.00
IS 125 THOMAS J MCCANN WOODSIDE,NYC GEOG DIST #24 - QUEENS ,"$6,022.28","$1,044.95","$3,915.61",$10.46,"$10,993.29",$524.41,$290.55,$0.00,$814.96,$368.72,$204.29,$477.62,"$1,050.62","$12,858.88","$20,560.95","$12,288.80",$484.55,$0.00,$23.26,$0.00,$62.27,$0.00,$570.07,"$20,560.95","$14,349.45","$7,302.22",$573.01,$0.00,$0.00,$0.00
IS 5 WALTER CROWLEY INTERMEDIATE,NYC GEOG DIST #24 - QUEENS ,"$6,426.57","$1,189.72","$4,219.81",$14.52,"$11,850.62",$401.30,$222.34,$0.00,$623.65,$283.82,$157.25,$321.58,$762.66,"$13,236.93","$20,939.00","$12,647.92",$489.60,$0.00,$16.11,$0.00,$83.29,$0.00,$589.00,"$20,939.00","$16,685.20","$3,684.45",$441.07,$0.00,$0.00,$0.00
IS 61 LEONARDO DA VINCI,NYC GEOG DIST #24 - QUEENS ,"$6,527.86","$1,456.33","$4,423.65",$24.70,"$12,432.53",$474.82,$263.07,$0.00,$737.89,$403.35,$223.48,"$1,012.29","$1,639.12","$14,809.55","$22,511.63","$14,064.70",$560.33,$0.00,$43.04,$0.00,$104.33,$37.16,$744.85,"$22,511.63","$18,076.61","$6,056.43",$626.83,$0.00,$0.00,$0.00
IS 73 FRANK SANSIVIERI INTER SCHOOL,NYC GEOG DIST #24 - QUEENS ,"$5,934.56","$1,357.95","$4,040.42",$21.99,"$11,354.92",$400.70,$222.01,$0.00,$622.70,$348.69,$193.19,$532.81,"$1,074.70","$13,052.33","$20,754.41","$12,431.82",$449.53,$0.00,$19.10,$0.00,$101.86,$50.02,$620.51,"$20,754.41","$16,486.04","$6,288.02",$541.89,$0.00,$0.00,$0.00
IS 77,NYC GEOG DIST #24 - QUEENS ,"$7,534.86","$2,167.56","$5,375.63",$6.24,"$15,084.29",$640.23,$354.72,$0.00,$994.95,$565.30,$313.20,$902.97,"$1,781.47","$17,860.70","$25,562.78","$16,979.00",$654.64,$0.00,$29.20,$0.00,$63.90,$133.96,$881.70,"$25,562.78","$16,615.58","$7,006.48",$878.50,$0.00,$0.00,$0.00
IS 93 RIDGEWOOD,NYC GEOG DIST #24 - QUEENS ,"$6,623.68","$1,503.03","$4,502.61",$3.55,"$12,632.87",$617.55,$342.16,$0.00,$959.71,$417.08,$231.09,$338.77,$986.94,"$14,579.51","$22,281.59","$13,800.99",$536.78,$0.00,$19.19,$0.00,$149.31,$73.25,$778.52,"$22,281.59","$15,370.10","$9,543.37",$648.17,$0.00,$0.00,$0.00
LEARNERS AND LEADERS,NYC GEOG DIST #24 - QUEENS ,"$6,463.02","$3,644.86","$5,600.28",$52.60,"$15,760.77",$725.65,$402.05,$0.00,"$1,127.70",$171.02,$94.76,$387.27,$653.05,"$17,541.52","$25,243.60","$16,604.02",$525.10,$0.00,$28.36,$0.00,$384.04,$0.00,$937.50,"$25,243.60","$27,594.38","$7,725.81",$265.78,$0.00,$0.00,"$14,443.47"
MASPETH HIGH SCHOOL,NYC GEOG DIST #24 - QUEENS ,"$4,269.00",$942.21,"$2,887.28",$0.00,"$8,098.50",$579.27,$320.94,$0.00,$900.21,$242.05,$134.11,$833.84,"$1,210.00","$10,208.71","$17,910.78","$10,147.23",$5.37,$0.00,$3.58,$0.00,$52.28,$0.25,$61.47,"$17,910.78","$10,764.74","$12,452.43",$376.15,$0.00,$0.00,$0.00
MIDDLE COLLEGE HIGH SCH AT LAGUARDIA,NYC GEOG DIST #24 - QUEENS ,"$4,619.14",$903.76,"$3,059.97",$0.00,"$8,582.87","$1,001.42",$554.84,$0.00,"$1,556.26","$1,347.47",$746.57,$372.62,"$2,466.66","$12,605.79","$20,307.87","$12,111.54",$467.90,$0.00,$0.00,$0.00,$26.36,$0.00,$494.25,"$20,307.87","$6,399.92",$0.00,"$1,645.95",$0.00,$0.00,$0.00
NEWTOWN HIGH SCHOOL,NYC GEOG DIST #24 - QUEENS ,"$5,910.43","$1,527.77","$4,121.14",$0.00,"$11,559.34",$952.89,$527.95,$0.00,"$1,480.85",$652.22,$361.36,$703.22,"$1,716.80","$14,756.98","$22,459.06","$13,835.64",$717.38,$0.00,$34.95,$0.00,$22.43,$146.59,$921.34,"$22,459.06","$12,274.70","$6,035.90",$970.69,$0.00,$0.00,$0.00
PAN AMERICAN INTERNATIONAL HS,NYC GEOG DIST #24 - QUEENS ,"$7,722.95","$1,942.02","$5,354.89",$264.75,"$15,284.61","$1,263.14",$699.84,$0.00,"$1,962.98",$705.28,$390.76,"$1,883.00","$2,979.05","$20,226.64","$27,928.71","$18,959.15",$737.29,$0.00,$133.32,$0.00,$0.00,$396.88,"$1,267.48","$27,928.71","$30,313.92","$4,169.51","$2,217.13","$2,986.39",$0.00,$0.00
PIONEER ACADEMY,NYC GEOG DIST #24 - QUEENS ,"$6,872.71","$2,296.16","$5,080.02",$98.90,"$14,347.79",$473.21,$262.18,$0.00,$735.39,$89.66,$49.67,$591.58,$730.91,"$15,814.09","$23,516.17","$14,903.92",$649.13,$0.00,$64.01,$29.48,$167.55,$0.00,$910.17,"$23,516.17","$23,178.65","$5,038.21",$139.33,$0.00,$0.00,$0.00
PS 102 BAYVIEW,NYC GEOG DIST #24 - QUEENS ,"$6,160.81","$1,473.72","$4,229.92",$41.50,"$11,905.95",$360.63,$199.81,$0.00,$560.43,$329.68,$182.66,$356.36,$868.70,"$13,335.09","$21,037.16","$12,762.42",$436.64,$81.16,$15.29,$10.82,$28.75,$0.00,$572.67,"$21,037.16","$21,293.69","$6,675.08",$512.34,$0.00,$0.00,"$14,614.43"
PS 110,NYC GEOG DIST #24 - QUEENS ,"$5,665.57","$2,165.68","$4,338.91",$74.53,"$12,244.69",$493.10,$273.20,$0.00,$766.31,$201.42,$111.60,"$1,037.40","$1,350.42","$14,361.42","$22,063.50","$13,605.05",$536.26,$0.00,$45.73,$0.00,$174.38,$0.00,$756.37,"$22,063.50","$19,693.29","$7,496.37",$313.02,$0.00,$0.00,$0.00
PS 12 JAMES B COLGATE,NYC GEOG DIST #24 - QUEENS ,"$6,504.66","$1,509.70","$4,440.36",$0.00,"$12,454.71",$481.90,$267.00,$0.00,$748.90,$438.02,$242.68,$204.04,$884.74,"$14,088.35","$21,790.42","$13,249.86",$610.42,$43.93,$40.50,$0.00,$143.63,$0.00,$838.48,"$21,790.42","$18,687.63","$6,968.26",$680.70,$0.00,$0.00,$0.00
PS 128 LORRAINE TUZZO-JUNIPER VALLEY,NYC GEOG DIST #24 - QUEENS ,"$5,567.74","$1,354.05","$3,835.02",$1.10,"$10,757.91",$444.20,$246.11,$0.00,$690.31,$100.08,$55.45,$157.40,$312.93,"$11,761.16","$19,463.23","$11,548.53",$8.26,$109.07,$15.84,$0.00,$79.45,$0.00,$212.62,"$19,463.23","$17,302.34","$8,492.97",$155.53,$0.00,$0.00,$0.00
PS 13 CLEMENT C MOORE,NYC GEOG DIST #24 - QUEENS ,"$5,945.28","$1,652.10","$4,209.33",$32.69,"$11,839.40",$444.71,$246.39,$0.00,$691.10,$311.85,$172.78,$544.75,"$1,029.38","$13,559.88","$21,261.96","$12,853.15",$472.73,$39.81,$43.34,$0.00,$150.85,$0.00,$706.73,"$21,261.96","$22,847.82","$4,815.62",$484.64,$0.00,$0.00,$0.00
PS 14 FAIRVIEW,NYC GEOG DIST #24 - QUEENS ,"$6,632.50","$2,019.27","$4,793.52",$32.23,"$13,477.51",$416.60,$230.82,$0.00,$647.42,$388.46,$215.23,$317.35,$921.03,"$15,045.97","$22,748.04","$14,302.42",$531.90,$116.50,$36.86,$0.00,$58.28,$0.00,$743.54,"$22,748.04","$24,969.84","$8,144.97",$603.68,$0.00,$0.00,$0.00
PS 143 LOUIS ARMSTRONG,NYC GEOG DIST #24 - QUEENS ,"$7,226.62","$2,542.16","$5,412.40",$28.92,"$15,210.09",$576.86,$319.61,$0.00,$896.47,$332.13,$184.02,$990.01,"$1,506.16","$17,612.73","$25,314.80","$16,520.67",$694.01,$112.38,$75.47,$0.00,$210.19,$0.00,"$1,092.05","$25,314.80","$24,054.49","$6,227.84",$516.15,$0.00,$0.00,$0.00
PS 153 MASPETH ELEMENTARY,NYC GEOG DIST #24 - QUEENS ,"$5,795.46","$2,211.67","$4,436.36",$61.40,"$12,504.89",$481.98,$267.04,$0.00,$749.01,$275.68,$152.74,$325.10,$753.52,"$14,007.43","$21,709.50","$13,388.89",$428.48,$114.87,$13.98,$0.00,$61.21,$0.00,$618.54,"$21,709.50","$20,419.82","$16,010.43",$428.42,$0.00,$0.00,"$15,701.86"
PS 16 NANCY DEBENEDITTIS SCHOOL (THE,NYC GEOG DIST #24 - QUEENS ,"$6,209.12","$1,981.98","$4,538.28",$31.75,"$12,761.14",$529.98,$293.64,$0.00,$823.61,$318.16,$176.28,$708.60,"$1,203.03","$14,787.78","$22,489.86","$13,994.37",$602.57,$52.90,$61.25,$0.00,$76.69,$0.00,$793.41,"$22,489.86","$19,114.03","$5,601.76",$494.43,$0.00,$0.00,$0.00
PS 19 MARINO JEANTET,NYC GEOG DIST #24 - QUEENS ,"$6,537.59","$2,262.58","$4,875.74",$26.83,"$13,702.74",$491.48,$272.30,$0.00,$763.78,$404.37,$224.04,$475.73,"$1,104.14","$15,570.66","$23,272.74","$14,818.70",$540.98,$59.23,$75.02,$0.00,$75.52,$1.22,$751.97,"$23,272.74","$19,797.09","$5,975.54",$628.41,$0.00,$0.00,$0.00
