School,District,A1. Classroom Salaries,A2. Other Instructional Salaries,A3. Instructional Benefits,A4. Professional Development,GROUP A TOTAL,B1. School Administrative Salaries,B2. School Administrative Benefits,B3. Other School Administrative Expenditures,GROUP B TOTAL,C1. All Other Salaries,C2. All Other Benefits,C3. All Other Non-personnel Expenditures,GROUP C TOTAL,D. Total School Level (A + B + C),I. Total Spending (D + H),J. Total School Level Local/State Spending,K1. Federal Title I Part A,K2. Federal Title II Part A,K3. Federal Title III Part A,K4. Federal Title IV Part A,K5. IDEA,K6. All Other Federal,GROUP K TOTAL,N. Total District and School Spending (J + K + L + M),O. Special Education,P. ELL/MLL Services,Q. Pupil Services,R. Community Schools Programs,S. BOCES Services,T. Prekindergarten
ANDERSON SCHOOL (THE),NYC GEOG DIST # 3 - MANHATTAN,"$4,403.08","$1,033.29","$3,012.02",$32.25,"$8,480.64",$556.99,$308.60,$0.00,$865.60,$197.23,$109.28,"$1,169.93","$1,476.44","$10,822.68","$18,524.75","$10,815.38",$1.54,$0.00,$5.77,$0.00,$0.00,$0.00,$7.30,"$18,524.75","$10,200.98","$3,004.00",$306.51,$0.00,$0.00,$0.00
BEACON HIGH SCHOOL,NYC GEOG DIST # 3 - MANHATTAN,"$4,442.26",$650.91,"$2,821.88",$1.81,"$7,916.86",$330.53,$183.13,$0.00,$513.65,$365.54,$202.53,$199.71,$767.78,"$9,198.30","$16,900.37","$9,146.67",$9.35,$0.00,$4.11,$0.00,$38.17,$0.00,$51.63,"$16,900.37","$6,685.71","$5,195.06",$516.78,$0.00,$0.00,$0.00
COMMUNITY ACTION SCHOOL-MS 258,NYC GEOG DIST # 3 - MANHATTAN,"$7,216.71","$2,457.98","$5,360.27",$26.71,"$15,061.68","$1,183.51",$655.73,$0.00,"$1,839.24",$407.66,$225.87,"$1,025.80","$1,659.33","$18,560.26","$26,262.34","$16,879.80",$497.78,$0.00,$0.00,$0.00,$0.00,"$1,182.68","$1,680.46","$26,262.34","$24,530.54","$26,837.50","$1,299.96",$891.60,$0.00,$0.00
EDWARD A REYNOLDS WEST SIDE HS,NYC GEOG DIST # 3 - MANHATTAN,"$10,693.64","$1,758.60","$6,899.18",$212.02,"$19,563.45","$1,776.30",$984.16,$0.00,"$2,760.46","$1,882.31","$1,042.90",$884.52,"$3,809.73","$26,133.64","$33,835.72","$25,161.32",$955.70,$0.00,$16.62,$0.00,$0.00,$0.00,$972.32,"$33,835.72","$14,140.38",$368.46,"$2,925.21",$0.00,$0.00,$0.00
FIORELLO H LAGUARDIA HIGH SCHOOL,NYC GEOG DIST # 3 - MANHATTAN,"$5,020.28",$634.48,"$3,133.02",$0.00,"$8,787.78",$556.31,$308.22,$0.00,$864.53,$381.18,$211.19,$535.26,"$1,127.63","$10,779.94","$18,482.01","$10,746.85",$2.21,$0.00,$2.93,$0.00,$4.21,$23.75,$33.09,"$18,482.01","$5,833.47","$71,211.60",$564.94,$0.00,$0.00,$0.00
FRANK MCCOURT HIGH SCHOOL,NYC GEOG DIST # 3 - MANHATTAN,"$5,472.81",$684.41,"$3,411.41",$0.00,"$9,568.64",$761.11,$421.70,$0.00,"$1,182.81",$392.97,$217.73,$318.08,$928.78,"$11,680.23","$19,382.31","$11,635.09",$22.57,$0.00,$0.19,$0.00,$22.37,$0.00,$45.13,"$19,382.31","$8,022.00",$6.50,$610.70,$0.00,$0.00,$0.00
FREDERICK DOUGLASS ACADEMY II,NYC GEOG DIST # 3 - MANHATTAN,"$6,324.78","$1,979.08","$4,600.76",$55.56,"$12,960.17","$1,138.01",$630.51,$0.00,"$1,768.52",$989.47,$548.21,$724.99,"$2,262.67","$16,991.37","$24,693.45","$16,115.68",$599.78,$0.00,$33.97,$0.00,$241.94,$0.00,$875.68,"$24,693.45","$11,385.59","$5,149.47","$1,537.69",$0.00,$0.00,$0.00
GLOBAL LEARNING COLLABORATIVE (THE),NYC GEOG DIST # 3 - MANHATTAN,"$6,854.17","$1,636.47","$4,704.24",$43.42,"$13,238.31","$1,066.07",$590.66,$0.00,"$1,656.73",$283.02,$156.81,$745.50,"$1,185.33","$16,080.37","$23,782.44","$15,077.07",$882.94,$0.00,$29.44,$0.00,$51.58,$39.33,"$1,003.30","$23,782.44","$13,842.33","$12,012.69",$439.83,$0.00,$0.00,$0.00
HIGH SCHOOL OF ARTS AND TECHNOLOGY,NYC GEOG DIST # 3 - MANHATTAN,"$6,081.26","$1,426.70","$4,159.80",$0.00,"$11,667.76","$1,116.58",$618.64,$0.00,"$1,735.22","$1,325.65",$734.48,$959.89,"$3,020.02","$16,423.00","$24,125.08","$14,812.48",$830.09,$0.00,$31.73,$301.19,$397.78,$49.74,"$1,610.52","$24,125.08","$11,653.38","$7,998.79","$2,060.13",$0.00,$0.00,$0.00
HS FOR LAW ADVCY & COMM JUST,NYC GEOG DIST # 3 - MANHATTAN,"$7,010.97","$1,681.33","$4,815.98",$27.91,"$13,536.18","$1,121.79",$621.53,$0.00,"$1,743.31",$479.22,$265.51,$629.17,"$1,373.91","$16,653.41","$24,355.49","$15,646.38",$920.57,$0.00,$0.00,$0.00,$86.46,$0.00,"$1,007.03","$24,355.49","$14,482.43","$18,858.08",$744.74,$0.00,$0.00,$0.00
