School,District,A1. Classroom Salaries,A2. Other Instructional Salaries,A3. Instructional Benefits,A4. Professional Development,GROUP A TOTAL,B1. School Administrative Salaries,B2. School Administrative Benefits,B3. Other School Administrative Expenditures,GROUP B TOTAL,C1. All Other Salaries,C2. All Other Benefits,C3. All Other Non-personnel Expenditures,GROUP C TOTAL,D. Total School Level (A + B + C),I. Total Spending (D + H),J. Total School Level Local/State Spending,K1. Federal Title I Part A,K2. Federal Title II Part A,K3. Federal Title III Part A,K4. Federal Title IV Part A,K5. IDEA,K6. All Other Federal,GROUP K TOTAL,N. Total District and School Spending (J + K + L + M),O. Special Education,P. ELL/MLL Services,Q. Pupil Services,R. Community Schools Programs,S. BOCES Services,T. Prekindergarten
ACADEMY OF MEDICAL TECHNOLOGY,NYC GEOG DIST #27 - QUEENS ,"$6,687.76",$930.32,"$4,220.80",$82.59,"$11,921.47",$749.33,$415.17,$0.00,"$1,164.49",$338.46,$187.52,$602.75,"$1,128.74","$14,214.71","$21,916.78","$13,475.40",$680.07,$0.00,$31.89,$0.00,$0.00,$27.34,$739.30,"$21,916.78","$13,807.30","$3,895.93",$525.99,$0.00,$0.00,$0.00
AUGUST MARTIN HIGH SCHOOL,NYC GEOG DIST #27 - QUEENS ,"$8,267.55","$1,647.65","$5,493.53",$87.78,"$15,496.51","$1,555.11",$861.61,$0.00,"$2,416.72","$1,392.26",$771.38,"$4,434.85","$6,598.50","$24,511.73","$32,213.80","$23,498.22",$891.10,$0.00,$21.45,$0.00,$0.00,$100.95,"$1,013.50","$32,213.80","$10,258.04","$23,253.53","$3,563.95","$5,312.68",$0.00,$0.00
CHANNEL VIEW SCHOOL FOR RESEARCH,NYC GEOG DIST #27 - QUEENS ,"$6,278.49","$1,946.61","$4,557.12",$101.86,"$12,884.09",$719.03,$398.38,$0.00,"$1,117.41",$528.11,$292.60,"$1,024.79","$1,845.50","$15,847.00","$23,549.07","$15,201.43",$435.51,$0.00,$0.00,$28.25,$95.78,$86.03,$645.57,"$23,549.07","$46,466.75","$10,922.75",$820.71,$0.00,$0.00,$0.00
EPIC HIGH SCHOOL - NORTH,NYC GEOG DIST #27 - QUEENS ,"$5,106.35","$1,102.37","$3,439.95",$0.00,"$9,648.68",$725.30,$401.85,$0.00,"$1,127.15","$1,237.22",$685.48,$632.83,"$2,555.52","$13,331.35","$21,033.42","$12,884.62",$446.72,$0.00,$0.00,$0.00,$0.00,$0.00,$446.72,"$21,033.42","$10,245.62","$2,679.56","$1,922.70",$0.00,$0.00,$0.00
EPIC HIGH SCHOOL-SOUTH,NYC GEOG DIST #27 - QUEENS ,"$5,753.76",$998.05,"$3,740.84",$26.48,"$10,519.12",$804.08,$445.50,$0.00,"$1,249.58",$540.44,$299.43,$975.51,"$1,815.40","$13,584.10","$21,286.17","$13,155.10",$391.66,$0.00,$37.34,$0.00,$0.00,$0.00,$429.00,"$21,286.17","$11,998.39","$6,872.35",$839.88,$0.00,$0.00,$0.00
FREDERICK DOUGLASS ACAD VI HS,NYC GEOG DIST #27 - QUEENS ,"$6,922.64","$1,635.48","$4,741.63",$100.00,"$13,399.75",$986.51,$546.58,$0.00,"$1,533.09","$1,359.53",$753.25,$808.78,"$2,921.55","$17,854.40","$25,556.48","$15,886.15",$630.72,$0.00,$46.33,$184.84,$27.24,"$1,079.11","$1,968.25","$25,556.48","$12,017.04","$2,960.25","$2,112.77",$0.00,$0.00,$0.00
GOLDIE MAPLE ACADEMY,NYC GEOG DIST #27 - QUEENS ,"$5,836.19","$1,556.37","$4,095.85",$19.09,"$11,507.51",$764.43,$423.53,$0.00,"$1,187.96",$0.00,$0.00,$726.38,$726.38,"$13,421.84","$21,123.92","$12,842.86",$460.31,$103.60,$0.00,$15.08,$0.00,$0.00,$578.98,"$21,123.92","$29,144.95",$0.00,$0.00,$0.00,$0.00,"$20,461.26"
HAWTREE CREEK MIDDLE SCHOOL,NYC GEOG DIST #27 - QUEENS ,"$6,162.45","$1,349.89","$4,162.22",$90.85,"$11,765.41",$783.80,$434.27,$0.00,"$1,218.07",$535.15,$296.50,$559.81,"$1,391.46","$14,374.94","$22,077.02","$13,857.97",$516.97,$0.00,$0.00,$0.00,$0.00,$0.00,$516.97,"$22,077.02","$13,602.33","$26,361.00",$831.64,$0.00,$0.00,$0.00
"HS FOR CON, TRADES, ENGINEER AND ARC",NYC GEOG DIST #27 - QUEENS ,"$5,415.32","$1,235.27","$3,684.77",$30.44,"$10,365.81",$582.59,$322.79,$0.00,$905.38,$359.72,$199.31,$493.09,"$1,052.12","$12,323.32","$20,025.39","$12,022.74",$0.26,$0.00,$0.00,$0.00,$121.57,$178.75,$300.58,"$20,025.39","$10,672.74","$16,095.88",$481.20,$0.00,$0.00,$0.00
JHS 202 ROBERT H GODDARD,NYC GEOG DIST #27 - QUEENS ,"$6,151.42","$1,059.47","$3,995.20",$3.55,"$11,209.64",$553.07,$306.43,$0.00,$859.50,$321.64,$178.20,$388.47,$888.31,"$12,957.46","$20,659.53","$12,370.07",$531.14,$0.00,$20.90,$0.00,$35.35,$0.00,$587.39,"$20,659.53","$18,268.02","$9,100.56",$499.84,$0.00,$0.00,$0.00
JHS 210 ELIZABETH BLACKWELL,NYC GEOG DIST #27 - QUEENS ,"$6,090.68","$1,079.19","$3,972.47",$4.81,"$11,147.15",$429.23,$237.81,$0.00,$667.04,$296.90,$164.50,$640.00,"$1,101.40","$12,915.59","$20,617.67","$12,341.60",$476.60,$0.00,$13.53,$2.40,$28.27,$53.19,$573.99,"$20,617.67","$18,042.78","$5,908.58",$427.74,$0.00,$0.00,$0.00
JHS 226 VIRGIL I GRISSOM,NYC GEOG DIST #27 - QUEENS ,"$5,730.39","$1,817.16","$4,181.73",$89.81,"$11,819.08",$715.48,$396.41,$0.00,"$1,111.89",$94.78,$52.51,$803.41,$950.70,"$13,881.67","$21,583.75","$13,046.03",$736.13,$0.00,$37.62,$5.72,$38.33,$17.84,$835.64,"$21,583.75","$18,425.02","$5,016.71",$147.29,$0.00,$0.00,$0.00
JOHN ADAMS HIGH SCHOOL,NYC GEOG DIST #27 - QUEENS ,"$6,119.17","$1,493.25","$4,217.67",$31.61,"$11,861.70",$659.64,$365.48,$0.00,"$1,025.12",$723.20,$400.69,"$1,298.67","$2,422.56","$15,309.38","$23,011.46","$14,485.47",$650.29,$0.00,$35.03,$0.00,$23.33,$115.26,$823.91,"$23,011.46","$13,939.91","$9,290.54","$1,452.80","$2,475.83",$0.00,$0.00
KAPPA VI,NYC GEOG DIST #27 - QUEENS ,"$5,094.46","$1,146.74","$3,457.94",$65.28,"$9,764.43","$1,621.13",$898.18,$0.00,"$2,519.32",$281.53,$155.98,$617.11,"$1,054.62","$13,338.36","$21,040.44","$12,682.00",$539.90,$0.00,$0.00,$104.95,$10.24,$1.26,$656.36,"$21,040.44","$10,165.56",$0.00,$437.51,$0.00,$0.00,$0.00
LIGHTHOUSE ELEMENTARY SCHOOL,NYC GEOG DIST #27 - QUEENS ,"$7,164.25","$4,280.65","$6,341.06",$151.87,"$17,937.85","$1,367.60",$757.72,$0.00,"$2,125.32",$248.34,$137.59,$817.69,"$1,203.62","$21,266.79","$28,968.87","$19,953.74",$762.31,$311.81,$0.00,$28.81,$128.74,$81.38,"$1,313.05","$28,968.87","$30,757.46","$7,797.50",$385.93,$0.00,$0.00,"$14,177.17"
MS 137 AMERICA'S SCHOOL OF HEROES,NYC GEOG DIST #27 - QUEENS ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MS 53 BRIAN PICCOLO,NYC GEOG DIST #27 - QUEENS ,"$8,976.80","$4,078.74","$7,233.43",$207.30,"$20,496.27","$1,416.65",$784.90,$0.00,"$2,201.55","$1,573.62",$871.86,"$3,134.96","$5,580.44","$28,278.27","$35,980.35","$27,047.27",$941.92,$0.00,$77.63,$26.43,$21.85,$163.16,"$1,231.00","$35,980.35","$21,875.47","$5,436.56","$4,046.22","$5,372.45",$0.00,$0.00
NYC ACADEMY FOR DISCOVERY,NYC GEOG DIST #27 - QUEENS ,"$5,985.49","$2,649.91","$4,784.45",$3.00,"$13,422.87",$721.16,$399.56,$0.00,"$1,120.72",$415.74,$230.34,$364.89,"$1,010.97","$15,554.56","$23,256.63","$14,887.30",$448.74,$49.82,$30.55,$0.00,$138.15,$0.00,$667.26,"$23,256.63","$22,837.57","$6,788.31",$646.08,$0.00,$0.00,"$14,401.48"
PS 100 GLEN MORRIS,NYC GEOG DIST #27 - QUEENS ,"$6,527.19","$1,886.11","$4,661.40",$8.84,"$13,083.55",$437.66,$242.49,$0.00,$680.15,$322.37,$178.61,$496.35,$997.33,"$14,761.04","$22,463.11","$13,948.66",$527.18,$125.94,$18.12,$0.00,$141.14,$0.00,$812.38,"$22,463.11","$23,633.72","$9,881.58",$500.98,$0.00,$0.00,"$14,022.06"
PS 104 BAYS WATER (THE),NYC GEOG DIST #27 - QUEENS ,"$7,098.71","$3,227.43","$5,721.20",$70.82,"$16,118.16",$652.15,$361.33,$0.00,"$1,013.48",$719.05,$398.39,$693.75,"$1,811.19","$18,942.83","$26,644.91","$17,971.90",$707.13,$105.14,$30.63,$9.55,$92.39,$26.08,$970.93,"$26,644.91","$33,356.41","$8,751.18","$1,005.55",$0.00,$0.00,"$21,679.21"
PS 105 BAY SCHOOL (THE),NYC GEOG DIST #27 - QUEENS ,"$7,434.00","$2,693.97","$5,611.41",$30.64,"$15,770.02",$530.70,$294.03,$0.00,$824.73,$560.01,$310.27,$324.56,"$1,194.85","$17,789.60","$25,491.68","$16,763.55",$701.33,$117.35,$14.60,$51.78,$123.44,$17.54,"$1,026.05","$25,491.68","$20,670.69","$9,021.02",$870.28,$0.00,$0.00,"$16,433.56"
PS 108 CAPTAIN VINCENT G FOWLER,NYC GEOG DIST #27 - QUEENS ,"$5,406.96","$1,792.68","$3,988.97",$9.22,"$11,197.82",$485.60,$269.05,$0.00,$754.65,$230.32,$127.61,$436.12,$794.05,"$12,746.53","$20,448.61","$12,049.93",$517.64,$126.00,$25.06,$0.00,$27.90,$0.00,$696.60,"$20,448.61","$16,253.84","$3,309.22",$357.93,$0.00,$0.00,"$13,616.97"
PS 123,NYC GEOG DIST #27 - QUEENS ,"$6,831.90","$2,354.78","$5,089.89",$46.32,"$14,322.90",$657.68,$364.39,$0.00,"$1,022.07",$445.47,$246.81,$172.07,$864.36,"$16,209.33","$23,911.41","$15,187.25",$528.10,$140.14,$26.43,$41.24,$286.16,$0.00,"$1,022.09","$23,911.41","$25,603.57","$7,411.57",$692.29,$0.00,$0.00,"$16,150.10"
PS 124 OSMOND A CHURCH,NYC GEOG DIST #27 - QUEENS ,"$5,742.28","$1,060.17","$3,768.90",$25.60,"$10,596.95",$429.60,$238.02,$0.00,$667.62,$407.94,$226.02,$585.46,"$1,219.42","$12,483.99","$20,186.07","$11,795.95",$516.08,$71.68,$19.82,$24.68,$55.78,$0.00,$688.04,"$20,186.07","$16,376.04","$7,940.40",$568.80,$0.00,$0.00,$0.00
PS 146 HOWARD BEACH,NYC GEOG DIST #27 - QUEENS ,"$6,929.08","$2,565.89","$5,260.70",$0.00,"$14,755.67",$726.36,$402.44,$0.00,"$1,128.81",$358.53,$198.65,$227.80,$784.98,"$16,669.45","$24,371.53","$16,460.49",$13.67,$71.12,$4.84,$0.00,$119.33,$0.00,$208.96,"$24,371.53","$23,557.66","$8,244.54",$557.18,$0.00,$0.00,"$17,037.00"
PS 155,NYC GEOG DIST #27 - QUEENS ,"$5,973.36","$1,299.88","$4,029.75",$9.09,"$11,312.09",$693.29,$384.12,$0.00,"$1,077.41",$586.24,$324.81,$353.47,"$1,264.53","$13,654.02","$21,356.10","$12,919.96",$466.66,$213.48,$33.32,$0.00,$20.59,$0.00,$734.05,"$21,356.10","$16,444.43","$5,324.84",$871.18,$0.00,$0.00,"$14,134.85"
PS 183 DR RICHARD R GREEN,NYC GEOG DIST #27 - QUEENS ,"$9,357.87","$2,819.58","$6,746.92",$190.44,"$19,114.81",$807.81,$447.57,$0.00,"$1,255.38","$1,022.87",$566.72,$658.88,"$2,248.47","$22,618.67","$30,320.74","$20,598.73",$862.88,$78.14,$0.00,$12.40,$94.35,$972.16,"$2,019.94","$30,320.74","$21,948.74","$15,048.56","$1,589.58",$0.00,$0.00,"$22,151.11"
PS 197 OCEAN SCHOOL (THE),NYC GEOG DIST #27 - QUEENS ,"$7,589.49","$3,327.36","$6,048.49",$286.51,"$17,251.86",$884.70,$490.17,$0.00,"$1,374.86",$449.34,$248.95,"$1,345.76","$2,044.05","$20,670.77","$28,372.85","$19,836.47",$487.70,$237.10,$29.43,$11.43,$68.64,$0.00,$834.30,"$28,372.85","$26,610.08","$10,608.34","$1,628.80","$2,059.23",$0.00,"$15,763.38"
PS 207 ROCKWOOD PARK,NYC GEOG DIST #27 - QUEENS ,"$8,494.48","$2,456.09","$6,067.17",$76.66,"$17,094.39",$595.92,$330.17,$0.00,$926.10,$596.37,$330.42,$260.48,"$1,187.26","$19,207.74","$26,909.82","$18,975.06",$3.90,$127.05,$0.00,$0.00,$101.73,$0.00,$232.68,"$26,909.82","$40,391.66",$0.00,$926.78,$0.00,$0.00,"$18,908.79"
PS 223 LYNDON B JOHNSON,NYC GEOG DIST #27 - QUEENS ,"$7,708.18","$2,265.24","$5,525.78",$4.39,"$15,503.59",$886.26,$491.03,$0.00,"$1,377.29",$509.06,$282.05,$657.74,"$1,448.84","$18,329.73","$26,031.80","$17,435.15",$543.59,$185.11,$15.75,$0.00,$150.13,$0.00,$894.58,"$26,031.80","$21,937.62","$11,412.69",$791.11,$0.00,$0.00,"$23,533.26"
PS 232 LINDENWOOD,NYC GEOG DIST #27 - QUEENS ,"$6,154.57","$1,363.01","$4,165.12",$33.02,"$11,715.71",$463.97,$257.06,$0.00,$721.03,$440.98,$244.33,$348.74,"$1,034.05","$13,470.80","$21,172.88","$13,295.35",$8.01,$112.38,$10.96,$0.00,$44.09,$0.00,$175.45,"$21,172.88","$14,867.11","$8,567.00",$685.31,$0.00,$0.00,"$14,471.27"
PS 253,NYC GEOG DIST #27 - QUEENS ,"$6,974.57","$2,271.14","$5,122.60",$64.80,"$14,433.11",$730.48,$404.72,$0.00,"$1,135.20",$488.31,$270.55,$560.45,"$1,319.31","$16,887.63","$24,589.70","$16,010.77",$537.37,$176.02,$44.74,$0.00,$118.72,$0.00,$876.85,"$24,589.70","$17,876.81","$3,473.39",$758.86,$0.00,$0.00,"$15,664.42"
PS 254 ROSA PARKS SCHOOL (THE),NYC GEOG DIST #27 - QUEENS ,"$6,214.14","$2,626.21","$4,898.01",$61.83,"$13,800.19",$687.00,$380.63,$0.00,"$1,067.63",$173.34,$96.04,$378.88,$648.26,"$15,516.09","$23,218.17","$14,183.89",$430.78,$63.81,$33.93,$0.00,$189.18,$614.49,"$1,332.20","$23,218.17","$35,520.84","$9,827.07",$269.38,$0.00,$0.00,"$14,575.03"
PS 273,NYC GEOG DIST #27 - QUEENS ,"$7,461.84","$2,791.44","$5,680.84",$38.98,"$15,973.10",$931.27,$515.97,$0.00,"$1,447.23",$110.01,$60.95,$297.28,$468.23,"$17,888.57","$25,590.65","$17,150.97",$579.01,$0.00,$29.85,$0.00,$128.73,$0.00,$737.60,"$25,590.65","$29,212.04","$10,298.83",$170.96,$0.00,$0.00,"$13,896.44"
PS 377,NYC GEOG DIST #27 - QUEENS ,"$5,805.93","$3,519.11","$5,166.55",$187.76,"$14,679.35",$536.74,$297.38,$0.00,$834.13,$39.33,$21.79,$837.10,$898.22,"$16,411.70","$24,113.78","$16,409.37",$2.33,$0.00,$0.00,$0.00,$0.00,$0.00,$2.33,"$24,113.78","$37,138.46",$0.00,$61.12,$0.00,$0.00,"$17,094.86"
PS 43,NYC GEOG DIST #27 - QUEENS ,"$6,679.26","$2,274.78","$4,960.99",$221.96,"$14,137.00",$824.78,$456.97,$0.00,"$1,281.75",$634.33,$351.45,$473.11,"$1,458.89","$16,877.64","$24,579.72","$15,662.80",$711.44,$188.21,$20.88,$40.77,$174.42,$79.11,"$1,214.84","$24,579.72","$19,686.73","$5,211.68",$985.79,$0.00,$0.00,"$18,184.85"
PS 45 CLARENCE WITHERSPOON,NYC GEOG DIST #27 - QUEENS ,"$8,189.04","$3,918.53","$6,708.21",$123.78,"$18,939.56",$891.59,$493.98,$0.00,"$1,385.58",$332.47,$184.20,$483.54,"$1,000.22","$21,325.36","$29,027.44","$20,211.53",$667.34,$136.56,$0.00,$148.33,$132.24,$29.35,"$1,113.83","$29,027.44","$31,415.11","$4,457.34",$516.68,$0.00,$0.00,"$18,077.07"
