School,District,A1. Classroom Salaries,A2. Other Instructional Salaries,A3. Instructional Benefits,A4. Professional Development,GROUP A TOTAL,B1. School Administrative Salaries,B2. School Administrative Benefits,B3. Other School Administrative Expenditures,GROUP B TOTAL,C1. All Other Salaries,C2. All Other Benefits,C3. All Other Non-personnel Expenditures,GROUP C TOTAL,D. Total School Level (A + B + C),I. Total Spending (D + H),J. Total School Level Local/State Spending,K1. Federal Title I Part A,K2. Federal Title II Part A,K3. Federal Title III Part A,K4. Federal Title IV Part A,K5. IDEA,K6. All Other Federal,GROUP K TOTAL,N. Total District and School Spending (J + K + L + M),O. Special Education,P. ELL/MLL Services,Q. Pupil Services,R. Community Schools Programs,S. BOCES Services,T. Prekindergarten
30TH AVENUE SCHOOL (THE),NYC GEOG DIST #30 - QUEENS ,"$4,279.74","$1,049.65","$2,952.75",$20.54,"$8,302.69",$614.71,$340.58,$0.00,$955.29,$302.60,$167.66,$515.70,$985.96,"$10,243.94","$17,946.02","$10,137.39",$5.27,$0.00,$5.85,$0.00,$95.43,$0.00,$106.55,"$17,946.02","$18,194.77","$24,166.00",$470.26,$0.00,$0.00,$0.00
ACAD FOR CAREERS IN TELEVISION-FILM,NYC GEOG DIST #30 - QUEENS ,"$5,253.74","$1,291.32","$3,626.29",$6.84,"$10,178.18",$722.54,$400.32,$0.00,"$1,122.86",$558.66,$309.53,$646.62,"$1,514.81","$12,815.86","$20,517.93","$12,513.86",$14.35,$0.00,$6.29,$0.00,$99.69,$181.65,$302.00,"$20,517.93","$8,603.46","$15,720.78",$666.16,$0.00,$0.00,$0.00
ACADEMY FOR NEW AMERICANS,NYC GEOG DIST #30 - QUEENS ,"$8,373.86","$2,399.69","$5,969.09",$0.00,"$16,742.65","$1,553.79",$860.88,$0.00,"$2,414.68","$1,186.63",$657.45,$302.08,"$2,146.17","$21,303.51","$29,005.59","$20,532.00",$613.33,$0.00,$158.17,$0.00,$0.00,$0.00,$771.50,"$29,005.59",$0.00,"$6,254.81","$1,844.09",$0.00,$0.00,$0.00
ACADEMY OF AMERICAN STUDIES,NYC GEOG DIST #30 - QUEENS ,"$4,211.30",$866.66,"$2,813.45",$9.96,"$7,901.37",$857.06,$474.85,$0.00,"$1,331.91",$363.30,$201.28,$186.63,$751.22,"$9,984.50","$17,686.57","$9,869.30",$8.74,$0.00,$12.11,$0.00,$11.86,$82.49,$115.20,"$17,686.57","$13,142.56","$11,659.32",$564.58,$0.00,$0.00,$0.00
ALBERT SHANKER SCH-VISUAL/PERF ARTS,NYC GEOG DIST #30 - QUEENS ,"$6,014.47","$1,337.24","$4,073.22",$30.38,"$11,455.32",$804.37,$445.66,$0.00,"$1,250.03",$778.68,$431.43,$296.13,"$1,506.25","$14,211.60","$21,913.68","$13,462.48",$556.19,$0.00,$17.03,$0.00,$56.14,$119.75,$749.12,"$21,913.68","$17,939.69","$11,497.53","$1,210.12",$0.00,$0.00,$0.00
BACCALAUREATE SCHOOL-GLOBAL ED,NYC GEOG DIST #30 - QUEENS ,"$5,677.77",$838.86,"$3,610.55",$0.00,"$10,127.18",$543.79,$301.29,$0.00,$845.07,$149.14,$82.63,$364.11,$595.88,"$11,568.14","$19,270.22","$11,539.75",$2.84,$0.00,$6.67,$0.00,$18.87,$0.00,$28.38,"$19,270.22","$15,089.51",$357.40,$231.77,$0.00,$0.00,$0.00
EAST ELMHURST COMMUNITY SCHOOL,NYC GEOG DIST #30 - QUEENS ,"$5,309.02","$2,772.79","$4,477.74",$302.68,"$12,862.23",$590.53,$327.18,$0.00,$917.71,$148.18,$82.10,$780.41,"$1,010.68","$14,790.63","$22,492.70","$14,136.83",$544.81,$0.00,$52.75,$0.00,$56.23,$0.00,$653.80,"$22,492.70","$22,977.17","$5,887.67",$230.27,$0.00,$0.00,$0.00
ENERGY TECH HIGH SCHOOL,NYC GEOG DIST #30 - QUEENS ,"$5,185.76","$1,523.53","$3,717.29",$0.00,"$10,426.59",$741.10,$410.60,$0.00,"$1,151.70",$716.15,$396.78,"$1,134.00","$2,246.93","$13,825.22","$21,527.30","$13,315.17",$343.14,$0.00,$0.00,$54.31,$82.77,$29.84,$510.05,"$21,527.30","$13,738.31","$8,170.86","$1,112.93",$0.00,$0.00,$0.00
FRANK SINATRA SCHOOL OF THE ARTS HS,NYC GEOG DIST #30 - QUEENS ,"$5,778.55","$1,222.86","$3,879.14",$10.89,"$10,891.44",$879.98,$487.55,$0.00,"$1,367.54",$511.32,$283.30,$310.56,"$1,105.18","$13,364.15","$21,066.23","$13,193.91",$4.08,$0.00,$4.52,$0.00,$26.47,$135.16,$170.24,"$21,066.23","$10,370.79",$554.43,$794.62,$0.00,$0.00,$0.00
HUNTERS POINT COMMUNITY MIDDLE,NYC GEOG DIST #30 - QUEENS ,"$6,572.75","$1,728.25","$4,599.18",$35.97,"$12,936.15",$944.90,$523.52,$0.00,"$1,468.43",$231.00,$127.99,$567.74,$926.73,"$15,331.31","$23,033.39","$15,062.21",$21.96,$0.00,$5.26,$67.07,$174.81,$0.00,$269.10,"$23,033.39","$14,947.16","$22,631.07",$358.99,$0.00,$0.00,$0.00
