School,District,A1. Classroom Salaries,A2. Other Instructional Salaries,A3. Instructional Benefits,A4. Professional Development,GROUP A TOTAL,B1. School Administrative Salaries,B2. School Administrative Benefits,B3. Other School Administrative Expenditures,GROUP B TOTAL,C1. All Other Salaries,C2. All Other Benefits,C3. All Other Non-personnel Expenditures,GROUP C TOTAL,D. Total School Level (A + B + C),I. Total Spending (D + H),J. Total School Level Local/State Spending,K1. Federal Title I Part A,K2. Federal Title II Part A,K3. Federal Title III Part A,K4. Federal Title IV Part A,K5. IDEA,K6. All Other Federal,GROUP K TOTAL,N. Total District and School Spending (J + K + L + M),O. Special Education,P. ELL/MLL Services,Q. Pupil Services,R. Community Schools Programs,S. BOCES Services,T. Prekindergarten
ACADEMY FOR YOUNG WRITERS,NYC GEOG DIST #19 - BROOKLYN ,"$6,819.84","$2,194.74","$4,994.54",$95.03,"$14,104.15",$799.27,$442.84,$0.00,"$1,242.11",$374.03,$207.23,"$1,403.06","$1,984.32","$17,330.58","$25,032.66","$16,262.12",$725.86,$0.00,$0.00,$57.25,$160.74,$124.61,"$1,068.46","$25,032.66","$18,813.85",$0.00,$977.78,"$1,534.57",$0.00,$0.00
ACADEMY OF INNOVATIVE TECHNOLOGY,NYC GEOG DIST #19 - BROOKLYN ,"$6,598.78","$1,226.10","$4,335.38",$30.19,"$12,190.44",$966.96,$535.74,$0.00,"$1,502.70",$518.27,$287.15,"$1,299.85","$2,105.26","$15,798.41","$23,500.48","$14,719.69",$711.06,$0.00,$30.74,$0.00,$191.55,$145.36,"$1,078.72","$23,500.48","$14,885.20","$6,971.29",$784.43,$0.00,$0.00,$0.00
BROOKLYN GARDENS ELEMENTARY SCHOOL,NYC GEOG DIST #19 - BROOKLYN ,"$7,154.51","$2,724.59","$5,473.52",$173.10,"$15,525.73",$963.89,$534.04,$0.00,"$1,497.94",$443.63,$245.80,"$1,604.92","$2,294.36","$19,318.03","$27,020.11","$17,407.89",$931.49,$0.00,$0.00,$20.69,$957.97,$0.00,"$1,910.14","$27,020.11","$19,507.71","$12,996.60","$1,693.95","$1,004.52",$0.00,"$17,814.71"
BROOKLYN LAB SCHOOL,NYC GEOG DIST #19 - BROOKLYN ,"$6,037.23","$2,127.01","$4,523.40",$391.42,"$13,079.07","$1,317.78",$730.12,$0.00,"$2,047.89",$724.17,$401.23,"$1,535.59","$2,660.99","$17,787.96","$25,490.03","$16,118.74",$957.39,$0.00,$50.34,$76.00,$503.85,$81.63,"$1,669.21","$25,490.03","$14,871.51","$3,532.04","$1,649.12","$1,386.54",$0.00,$0.00
CAPTAIN VERNON A RICHARDS HS-FIRE,NYC GEOG DIST #19 - BROOKLYN ,"$6,424.22","$2,318.91","$4,844.14",$266.19,"$13,853.47","$1,129.48",$625.79,$0.00,"$1,755.27","$1,167.68",$646.95,"$1,122.72","$2,937.36","$18,546.10","$26,248.18","$16,877.90",$859.02,$0.00,$0.00,$21.58,$736.30,$51.29,"$1,668.20","$26,248.18","$13,042.83","$20,794.09","$1,814.64",$0.00,$0.00,$0.00
CYPRESS HILLS COLLEGIATE PREP SCHOOL,NYC GEOG DIST #19 - BROOKLYN ,"$5,829.48","$1,572.17","$4,100.89",$116.51,"$11,619.05","$1,569.32",$869.48,$0.00,"$2,438.81",$614.84,$340.65,"$3,307.58","$4,263.08","$18,320.94","$26,023.02","$17,146.62",$747.00,$0.00,$52.23,$20.07,$67.18,$287.83,"$1,174.32","$26,023.02","$7,194.07","$6,721.38","$2,155.24","$3,174.87",$0.00,$0.00
EAST NEW YORK ELEMENTARY-EXCELLENCE,NYC GEOG DIST #19 - BROOKLYN ,"$6,844.52","$3,204.59","$5,567.72",$75.69,"$15,692.54",$578.27,$320.39,$0.00,$898.66,$650.11,$360.19,$600.29,"$1,610.60","$18,201.79","$25,903.87","$16,467.40",$819.00,$0.00,$28.09,$260.88,$626.42,$0.00,"$1,734.39","$25,903.87","$31,903.90","$4,040.44","$1,010.30",$0.00,$0.00,"$24,431.17"
EAST NEW YORK FAMILY ACADEMY,NYC GEOG DIST #19 - BROOKLYN ,"$6,930.41","$1,762.87","$4,816.52",$24.65,"$13,534.45",$972.17,$538.63,$0.00,"$1,510.81",$651.08,$360.73,$556.03,"$1,567.85","$16,613.11","$24,315.18","$15,617.50",$823.62,$0.00,$0.00,$12.02,$159.96,$0.00,$995.60,"$24,315.18","$16,617.55","$10,390.59","$1,011.82",$0.00,$0.00,$0.00
EAST NEW YORK MIDDLE SCH-EXCELLENCE,NYC GEOG DIST #19 - BROOKLYN ,"$6,649.08","$2,370.37","$4,997.24",$462.93,"$14,479.62","$1,056.67",$585.45,$0.00,"$1,642.12",$540.33,$299.37,"$2,821.00","$3,660.71","$19,782.45","$27,484.53","$17,572.49","$1,072.93",$0.00,$0.00,$21.54,$148.90,$966.59,"$2,209.97","$27,484.53","$16,526.08","$4,284.29","$1,178.95",$624.54,$0.00,$0.00
FDA VIII MIDDLE SCHOOL,NYC GEOG DIST #19 - BROOKLYN ,"$6,639.83","$2,502.26","$5,065.18",$146.32,"$14,353.59",$899.18,$498.19,$0.00,"$1,397.36",$358.19,$198.45,$714.91,"$1,271.55","$17,022.51","$24,724.58","$16,132.50",$670.39,$0.00,$0.00,$17.86,$201.75,$0.00,$890.00,"$24,724.58","$23,061.66","$22,234.25",$556.64,$0.00,$0.00,$0.00
