School,District,A1. Classroom Salaries,A2. Other Instructional Salaries,A3. Instructional Benefits,A4. Professional Development,GROUP A TOTAL,B1. School Administrative Salaries,B2. School Administrative Benefits,B3. Other School Administrative Expenditures,GROUP B TOTAL,C1. All Other Salaries,C2. All Other Benefits,C3. All Other Non-personnel Expenditures,GROUP C TOTAL,D. Total School Level (A + B + C),I. Total Spending (D + H),J. Total School Level Local/State Spending,K1. Federal Title I Part A,K2. Federal Title II Part A,K3. Federal Title III Part A,K4. Federal Title IV Part A,K5. IDEA,K6. All Other Federal,GROUP K TOTAL,N. Total District and School Spending (J + K + L + M),O. Special Education,P. ELL/MLL Services,Q. Pupil Services,R. Community Schools Programs,S. BOCES Services,T. Prekindergarten
BROOKLYN COLLEGIATE,NYC GEOG DIST #23 - BROOKLYN ,"$8,040.48","$2,926.65","$6,076.35",$25.00,"$17,068.49","$2,051.87","$1,136.84",$0.00,"$3,188.71",$912.34,$505.48,"$2,559.70","$3,977.53","$24,234.73","$31,936.81","$22,473.84","$1,245.70",$0.00,$35.86,$25.00,$229.22,$225.10,"$1,760.89","$31,936.81","$16,897.11","$9,239.00","$3,377.30","$4,661.26",$0.00,$0.00
BROOKLYN DEMOCRACY ACADEMY,NYC GEOG DIST #23 - BROOKLYN ,"$5,458.87","$2,210.26","$4,249.09",$208.98,"$12,127.20","$1,418.94",$786.16,$0.00,"$2,205.11",$553.82,$306.84,"$2,310.40","$3,171.07","$17,503.38","$25,205.46","$16,666.39",$836.99,$0.00,$0.00,$0.00,$0.00,$0.00,$836.99,"$25,205.46","$6,986.17","$12,876.71",$860.67,$0.00,$0.00,$0.00
BROOKLYN ENVIRONMENTAL EXPLORATION,NYC GEOG DIST #23 - BROOKLYN ,"$10,319.20","$4,676.47","$8,308.36","$1,066.41","$24,370.46","$1,770.63",$981.01,$0.00,"$2,751.64","$1,131.07",$626.67,"$5,788.56","$7,546.30","$34,668.41","$42,370.49","$27,839.55",$854.15,$0.00,$0.00,"$1,318.89",$192.23,"$4,463.58","$6,828.86","$42,370.49","$22,265.66","$1,142.00","$3,142.14","$2,809.15",$0.00,$0.00
BROOKLYN LANDMARK ELEMENTARY SCHOOL,NYC GEOG DIST #23 - BROOKLYN ,"$5,371.16","$2,181.22","$4,184.41",$10.86,"$11,747.65",$719.68,$398.74,$0.00,"$1,118.41",$733.09,$406.17,$826.46,"$1,965.71","$14,831.78","$22,533.85","$14,103.25",$500.18,$0.00,$0.00,$5.56,$222.78,$0.00,$728.53,"$22,533.85","$16,920.36","$10,149.55","$1,139.26",$0.00,$0.00,"$17,209.05"
BROWNSVILLE COLLABORATIVE MIDDLE,NYC GEOG DIST #23 - BROOKLYN ,"$5,163.64","$2,376.17","$4,177.44",$0.00,"$11,717.25","$1,004.03",$556.28,$0.00,"$1,560.31",$195.14,$108.11,"$3,682.11","$3,985.37","$17,262.94","$24,965.01","$16,132.53",$969.34,$0.00,$0.00,$21.51,$139.57,$0.00,"$1,130.41","$24,965.01","$11,607.78","$2,850.35",$303.25,$0.00,$0.00,$0.00
CHRISTOPHER AVENUE COMMUNITY SCHOOL,NYC GEOG DIST #23 - BROOKLYN ,"$6,787.96","$4,578.60","$6,297.65",$43.93,"$17,708.15",$948.29,$525.40,$0.00,"$1,473.70",$865.63,$479.60,$887.32,"$2,232.56","$21,414.40","$29,116.48","$19,904.99","$1,024.88",$0.00,$0.00,$125.53,$317.29,$41.71,"$1,509.41","$29,116.48","$33,754.19","$2,899.38","$1,345.24",$0.00,$0.00,"$17,244.95"
EAGLE ACADEMY FOR YOUNG MEN II,NYC GEOG DIST #23 - BROOKLYN ,"$4,885.08","$2,005.02","$3,817.46",$126.69,"$10,834.24","$1,095.33",$606.87,$0.00,"$1,702.19",$180.16,$99.82,"$1,039.10","$1,319.07","$13,855.50","$21,557.58","$12,919.79",$710.49,$0.00,$0.00,$6.10,$219.12,$0.00,$935.71,"$21,557.58","$9,449.29",$0.00,$234.46,$0.00,$0.00,$0.00
FREDERICK DOUGLASS ACADEMY VII,NYC GEOG DIST #23 - BROOKLYN ,"$6,728.91","$2,607.25","$5,172.70",$157.48,"$14,666.35","$2,895.19","$1,604.08",$0.00,"$4,499.28",$407.52,$225.79,"$2,185.79","$2,819.11","$21,984.74","$29,686.82","$19,904.64","$1,174.52",$0.00,$34.92,$451.57,$311.04,$108.03,"$2,080.09","$29,686.82","$9,843.24",$859.57,$633.31,$0.00,$0.00,$0.00
GREGORY JOCKO JACKSON-SPORTS-ARTS,NYC GEOG DIST #23 - BROOKLYN ,"$9,395.39","$4,381.01","$7,632.83",$36.06,"$21,445.29","$1,194.58",$661.85,$0.00,"$1,856.43","$1,015.79",$562.80,"$2,955.76","$4,534.35","$27,836.09","$35,538.16","$25,985.42","$1,302.51",$79.23,$0.00,$21.81,$269.44,$177.67,"$1,850.66","$35,538.16","$25,495.78",$0.00,"$3,527.61","$4,657.14",$0.00,"$23,989.76"
IS 392,NYC GEOG DIST #23 - BROOKLYN ,"$5,521.88","$1,970.08","$4,150.92",$0.00,"$11,642.88","$1,021.34",$565.87,$0.00,"$1,587.22",$368.68,$204.27,"$1,289.67","$1,862.63","$15,092.74","$22,794.81","$13,759.36",$646.21,$0.00,$0.00,$471.14,$214.41,$1.61,"$1,333.37","$22,794.81","$24,455.22","$4,178.25","$1,013.65",$949.13,$0.00,$0.00
