School,District,A1. Classroom Salaries,A2. Other Instructional Salaries,A3. Instructional Benefits,A4. Professional Development,GROUP A TOTAL,B1. School Administrative Salaries,B2. School Administrative Benefits,B3. Other School Administrative Expenditures,GROUP B TOTAL,C1. All Other Salaries,C2. All Other Benefits,C3. All Other Non-personnel Expenditures,GROUP C TOTAL,D. Total School Level (A + B + C),I. Total Spending (D + H),J. Total School Level Local/State Spending,K1. Federal Title I Part A,K2. Federal Title II Part A,K3. Federal Title III Part A,K4. Federal Title IV Part A,K5. IDEA,K6. All Other Federal,GROUP K TOTAL,N. Total District and School Spending (J + K + L + M),O. Special Education,P. ELL/MLL Services,Q. Pupil Services,R. Community Schools Programs,S. BOCES Services,T. Prekindergarten
BILINGUAL BICULTURAL SCHOOL (THE),NYC GEOG DIST # 4 - MANHATTAN,"$9,151.98","$2,093.29","$6,230.46",$41.14,"$17,516.87",$891.16,$493.75,$0.00,"$1,384.91",$324.26,$179.66,"$1,140.78","$1,644.70","$20,546.48","$28,248.56","$19,375.85",$686.46,$429.77,$46.27,$0.00,$8.13,$0.00,"$1,170.63","$28,248.56","$22,118.11","$14,521.36",$503.92,$0.00,$0.00,"$14,537.24"
CENTRAL PARK EAST HIGH SCHOOL,NYC GEOG DIST # 4 - MANHATTAN,"$5,448.73","$1,428.82","$3,810.51",$3.42,"$10,691.49",$887.89,$491.94,$0.00,"$1,379.83",$970.14,$537.51,$744.42,"$2,252.07","$14,323.38","$22,025.46","$13,527.12",$583.36,$0.00,$0.00,$0.00,$212.91,$0.00,$796.26,"$22,025.46","$15,247.31","$18,746.44","$1,507.64",$0.00,$0.00,$0.00
CENTRAL PARK EAST I,NYC GEOG DIST # 4 - MANHATTAN,"$6,930.00","$2,923.61","$5,459.40",$10.87,"$15,323.89",$827.44,$458.45,$0.00,"$1,285.89",$518.84,$287.46,$734.64,"$1,540.96","$18,150.74","$25,852.82","$17,447.39",$47.88,$206.50,$12.33,$390.77,$45.86,$0.00,$703.35,"$25,852.82","$24,726.61","$13,118.50",$806.31,$0.00,$0.00,"$14,493.32"
CENTRAL PARK EAST II,NYC GEOG DIST # 4 - MANHATTAN,"$7,071.03","$3,357.38","$5,777.87",$41.75,"$16,248.03",$625.52,$346.57,$0.00,$972.10,$353.86,$196.06,"$1,114.44","$1,664.36","$18,884.49","$26,586.57","$18,237.35",$377.05,$29.17,$0.00,$0.00,$240.92,$0.00,$647.14,"$26,586.57","$30,454.82","$8,969.07","$1,325.68",$775.75,$0.00,"$16,322.93"
ESPERANZA PREPARATORY ACADEMY,NYC GEOG DIST # 4 - MANHATTAN,"$7,447.92","$3,244.33","$5,924.05",$187.62,"$16,803.92",$800.96,$443.78,$0.00,"$1,244.74",$808.21,$447.79,"$1,171.23","$2,427.23","$20,475.89","$28,177.97","$18,619.03",$989.05,$0.00,$25.80,$0.00,$358.57,$483.43,"$1,856.87","$28,177.97","$20,871.52","$12,371.26","$1,504.92",$474.40,$0.00,$0.00
HERITAGE SCHOOL (THE),NYC GEOG DIST # 4 - MANHATTAN,"$5,778.07","$1,104.09","$3,813.07",$0.00,"$10,695.23","$1,448.23",$802.39,$0.00,"$2,250.63",$610.58,$338.30,"$1,176.47","$2,125.35","$15,071.21","$22,773.29","$14,361.69",$597.87,$0.00,$29.25,$0.00,$26.26,$56.13,$709.52,"$22,773.29","$4,097.68","$19,223.30","$1,472.83",$934.25,$0.00,$0.00
ISAAC NEWTON MS FOR MATH & SCI,NYC GEOG DIST # 4 - MANHATTAN,"$6,629.44","$2,514.64","$5,066.28",$37.66,"$14,248.02","$1,227.82",$680.28,$0.00,"$1,908.10",$746.72,$413.72,$697.29,"$1,857.73","$18,013.86","$25,715.94","$16,680.39",$787.22,$0.00,$0.00,$0.00,$60.24,$486.00,"$1,333.47","$25,715.94","$10,705.27","$9,265.61","$1,160.44",$0.00,$0.00,$0.00
JAMES WELDON JOHNSON SCHOOL,NYC GEOG DIST # 4 - MANHATTAN,"$6,591.65","$2,114.34","$4,823.56",$137.37,"$13,666.91",$522.33,$289.40,$0.00,$811.73,$471.02,$260.97,$701.95,"$1,433.94","$15,912.58","$23,614.65","$15,191.05",$532.97,$88.02,$13.43,$15.64,$71.46,$0.00,$721.53,"$23,614.65","$18,660.36","$13,476.71",$731.99,$0.00,$0.00,"$15,607.02"
JUDITH S KAYE HIGH SCHOOL (THE),NYC GEOG DIST # 4 - MANHATTAN,"$8,228.24","$3,694.33","$6,605.71",$520.72,"$19,049.00","$3,152.86","$1,746.85",$0.00,"$4,899.71","$4,391.02","$2,432.85","$3,606.79","$10,430.67","$34,379.39","$42,081.47","$33,880.97",$498.41,$0.00,$0.00,$0.00,$0.00,$0.00,$498.41,"$42,081.47","$14,114.44",$0.00,"$6,823.87",$0.00,$0.00,$0.00
LEXINGTON ACADEMY (THE),NYC GEOG DIST # 4 - MANHATTAN,"$6,789.86","$2,720.84","$5,269.41",$134.97,"$14,915.09",$678.11,$375.70,$0.00,"$1,053.81",$455.49,$252.36,$564.79,"$1,272.65","$17,241.55","$24,943.63","$16,231.52",$614.05,$102.80,$21.38,$0.00,$271.79,$0.00,"$1,010.03","$24,943.63","$20,598.26","$27,616.26",$707.86,$0.00,$0.00,"$20,371.39"
MANHATTAN CENTER-SCIENCE & MATH,NYC GEOG DIST # 4 - MANHATTAN,"$4,427.06","$1,195.81","$3,115.35",$19.11,"$8,757.34",$810.14,$448.86,$0.00,"$1,259.00",$351.10,$194.52,$579.20,"$1,124.82","$11,141.16","$18,843.24","$10,510.47",$561.75,$0.00,$5.08,$0.00,$14.86,$49.00,$630.69,"$18,843.24","$8,734.98","$9,350.21",$481.58,$0.00,$0.00,$0.00
MOSAIC PREPARATORY ACADEMY,NYC GEOG DIST # 4 - MANHATTAN,"$7,692.86","$3,599.84","$6,256.73",$18.54,"$17,567.97","$1,037.85",$575.02,$0.00,"$1,612.88",$707.81,$392.16,$484.27,"$1,584.24","$20,765.09","$28,467.17","$19,143.16",$611.67,$49.95,$0.00,$95.98,$864.33,$0.00,"$1,621.93","$28,467.17","$18,571.14","$5,484.54","$1,099.97",$0.00,$0.00,"$20,048.93"
