School,District,A1. Classroom Salaries,A2. Other Instructional Salaries,A3. Instructional Benefits,A4. Professional Development,GROUP A TOTAL,B1. School Administrative Salaries,B2. School Administrative Benefits,B3. Other School Administrative Expenditures,GROUP B TOTAL,C1. All Other Salaries,C2. All Other Benefits,C3. All Other Non-personnel Expenditures,GROUP C TOTAL,D. Total School Level (A + B + C),I. Total Spending (D + H),J. Total School Level Local/State Spending,K1. Federal Title I Part A,K2. Federal Title II Part A,K3. Federal Title III Part A,K4. Federal Title IV Part A,K5. IDEA,K6. All Other Federal,GROUP K TOTAL,N. Total District and School Spending (J + K + L + M),O. Special Education,P. ELL/MLL Services,Q. Pupil Services,R. Community Schools Programs,S. BOCES Services,T. Prekindergarten
ACADEMY OF ARTS AND LETTERS,NYC GEOG DIST #13 - BROOKLYN ,"$5,565.71","$1,833.61","$4,099.60",$17.11,"$11,516.03",$804.56,$445.77,$0.00,"$1,250.33",$141.06,$78.16,$244.48,$463.70,"$13,230.07","$20,932.15","$12,982.43",$13.10,$0.00,$3.08,$11.41,$220.05,$0.00,$247.64,"$20,932.15","$18,179.59",$801.00,$219.22,$0.00,$0.00,$0.00
ACORN COMMUNITY HS,NYC GEOG DIST #13 - BROOKLYN ,"$6,103.36","$2,324.14","$4,669.26",$163.16,"$13,259.93","$2,049.78","$1,135.68",$0.00,"$3,185.46",$847.66,$469.64,$842.18,"$2,159.49","$18,604.89","$26,306.97","$17,180.86","$1,130.68",$0.00,$0.00,$37.50,$118.41,$137.43,"$1,424.03","$26,306.97","$16,292.02",$0.00,"$1,317.32",$0.00,$0.00,$0.00
BEDFORD ACADEMY HIGH SCHOOL,NYC GEOG DIST #13 - BROOKLYN ,"$5,789.62","$1,499.47","$4,038.53",$68.73,"$11,396.35",$831.55,$460.72,$0.00,"$1,292.27",$361.04,$200.03,$652.43,"$1,213.50","$13,902.13","$21,604.20","$12,792.40",$675.52,$0.00,$0.00,$94.15,$113.85,$226.20,"$1,109.73","$21,604.20","$7,381.91",$0.00,$561.08,$0.00,$0.00,$0.00
BENJAMIN BANNEKER ACADEMY,NYC GEOG DIST #13 - BROOKLYN ,"$5,419.45",$941.07,"$3,524.06",$19.70,"$9,904.28",$611.85,$338.99,$0.00,$950.84,$479.66,$265.76,$466.24,"$1,211.66","$12,066.78","$19,768.86","$11,300.85",$646.65,$0.00,$0.00,$41.64,$77.63,$0.00,$765.93,"$19,768.86","$11,647.72","$15,641.42",$745.42,$0.00,$0.00,$0.00
BROOKLYN ACADEMY HIGH SCHOOL,NYC GEOG DIST #13 - BROOKLYN ,"$8,425.34","$2,112.10","$5,838.28",$122.53,"$16,498.26","$1,818.41","$1,007.49",$0.00,"$2,825.90","$1,517.64",$840.85,"$1,981.37","$4,339.85","$23,664.02","$31,366.10","$22,622.16",$991.96,$0.00,$0.00,$0.00,$49.90,$0.00,"$1,041.86","$31,366.10","$5,343.22",$0.00,"$2,358.48",$0.00,$0.00,$0.00
BROOKLYN COMM ARTS-MEDIA HS,NYC GEOG DIST #13 - BROOKLYN ,"$6,828.35","$1,161.34","$4,426.69",$4.71,"$12,421.09","$1,039.05",$575.69,$0.00,"$1,614.74",$504.63,$279.59,"$1,733.93","$2,518.15","$16,553.98","$24,256.06","$15,652.39",$774.30,$0.00,$0.00,$4.71,$122.59,$0.00,$901.60,"$24,256.06","$12,258.46","$13,752.38","$1,804.08","$1,684.35",$0.00,$0.00
BROOKLYN HS-LEADERSHIP & COMMUNITY,NYC GEOG DIST #13 - BROOKLYN ,"$6,851.04","$1,557.77","$4,658.91","$1,472.46","$14,540.18","$2,575.44","$1,426.92",$0.00,"$4,002.37",$663.43,$367.57,"$2,565.18","$3,596.18","$22,138.74","$29,840.82","$18,240.74",$999.73,$0.00,$0.00,$471.62,$0.00,"$2,426.65","$3,898.00","$29,840.82","$4,834.50","$10,192.70","$1,031.00",$0.00,$0.00,$0.00
BROOKLYN INTERNATIONAL HS,NYC GEOG DIST #13 - BROOKLYN ,"$6,179.29","$1,814.71","$4,429.08",$7.07,"$12,430.16",$862.36,$477.79,$0.00,"$1,340.15",$825.88,$457.58,"$1,402.88","$2,686.34","$16,456.65","$24,158.73","$14,705.28",$843.99,$0.00,$169.44,$0.00,$28.58,$709.34,"$1,751.36","$24,158.73","$25,126.20","$3,277.34","$1,605.47","$1,412.82",$0.00,$0.00
BROOKLYN TECHNICAL HIGH SCHOOL,NYC GEOG DIST #13 - BROOKLYN ,"$4,406.73",$535.36,"$2,738.17",$0.76,"$7,681.02",$324.62,$179.86,$0.00,$504.48,$463.72,$256.92,$454.17,"$1,174.81","$9,360.31","$17,062.38","$9,275.64",$8.16,$0.00,$3.88,$0.76,$4.54,$67.33,$84.67,"$17,062.38","$6,945.77","$3140.10",$668.77,$0.00,$0.00,$0.00
CITY POLYTECHNIC HIGH SCHOOL,NYC GEOG DIST #13 - BROOKLYN ,"$5,517.33","$1,232.23","$3,739.60",$3.31,"$10,492.48",$972.34,$538.72,$0.00,"$1,511.06",$918.53,$508.91,"$1,012.33","$2,439.78","$14,443.32","$22,145.40","$13,477.37",$629.79,$0.00,$0.00,$0.00,$26.70,$309.46,$965.94,"$22,145.40","$10,303.39","$21,141.57","$1,427.45",$0.00,$0.00,$0.00
