School,District,A1. Classroom Salaries,A2. Other Instructional Salaries,A3. Instructional Benefits,A4. Professional Development,GROUP A TOTAL,B1. School Administrative Salaries,B2. School Administrative Benefits,B3. Other School Administrative Expenditures,GROUP B TOTAL,C1. All Other Salaries,C2. All Other Benefits,C3. All Other Non-personnel Expenditures,GROUP C TOTAL,D. Total School Level (A + B + C),I. Total Spending (D + H),J. Total School Level Local/State Spending,K1. Federal Title I Part A,K2. Federal Title II Part A,K3. Federal Title III Part A,K4. Federal Title IV Part A,K5. IDEA,K6. All Other Federal,GROUP K TOTAL,N. Total District and School Spending (J + K + L + M),O. Special Education,P. ELL/MLL Services,Q. Pupil Services,R. Community Schools Programs,S. BOCES Services,T. Prekindergarten
ACADEMY FOR EXCELLENCE-LEADERSHIP,NYC GEOG DIST #32 - BROOKLYN ,"$7,717.95","$3,620.11","$6,281.87",$247.63,"$17,867.56","$1,994.34","$1,104.97",$0.00,"$3,099.31","$1,828.51","$1,013.09","$1,850.61","$4,692.22","$25,659.09","$33,361.17","$24,194.80",$972.93,$0.00,$24.65,$25.86,$440.84,$0.00,"$1,464.29","$33,361.17","$26,716.81","$6,168.74","$3,708.27","$3,882.57",$0.00,$0.00
ACADEMY OF URBAN PLANNING-ENGINEERIN,NYC GEOG DIST #32 - BROOKLYN ,"$7,790.96","$2,430.31","$5,663.10",$182.37,"$16,066.75","$1,390.16",$770.22,$0.00,"$2,160.38","$1,151.53",$638.00,"$2,203.38","$3,992.92","$22,220.05","$29,922.13","$20,584.88","$1,368.90",$0.00,$37.40,$25.86,$116.36,$86.65,"$1,635.17","$29,922.13","$16,155.17","$4,251.83","$2,656.20","$2,976.71",$0.00,$0.00
ALL CITY LEADERSHIP SECONDARY SCH,NYC GEOG DIST #32 - BROOKLYN ,"$3,743.00","$1,516.86","$2,914.23",$62.62,"$8,236.71","$1,113.59",$616.98,$0.00,"$1,730.57",$247.44,$137.09,$974.88,"$1,359.42","$11,326.70","$19,028.78","$10,459.88",$814.99,$0.00,$0.00,$9.61,$42.22,$0.00,$866.82,"$19,028.78","$11,916.02","$10,029.09",$284.84,$0.00,$0.00,$0.00
BROOKLYN SCHOOL FOR MATH AND RESEARC,NYC GEOG DIST #32 - BROOKLYN ,"$5,210.83","$1,310.55","$3,613.18",$5.24,"$10,139.80","$2,042.45","$1,131.62",$0.00,"$3,174.07",$278.51,$154.31,"$1,654.39","$2,087.21","$15,401.08","$23,103.15","$14,430.66",$753.37,$0.00,$0.00,$0.00,$217.04,$0.00,$970.41,"$23,103.15","$17,213.39","$14,179.74","$1,158.68",$958.43,$0.00,$0.00
BROOKLYN SCHOOL FOR SOCIAL JUSTICE,NYC GEOG DIST #32 - BROOKLYN ,"$7,313.52","$2,328.66","$5,342.25",$39.75,"$15,024.19","$1,348.96",$747.40,$0.00,"$2,096.36","$1,118.09",$619.48,"$1,770.61","$3,508.19","$20,628.73","$28,330.81","$18,868.81","$1,113.29",$0.00,$48.90,$18.51,$280.84,$298.36,"$1,759.91","$28,330.81","$14,168.01","$5,477.68","$2,566.35","$2,518.89",$0.00,$0.00
BUSHWICK COMMUNITY HS,NYC GEOG DIST #32 - BROOKLYN ,"$7,849.99","$2,031.25","$5,474.71",$0.00,"$15,355.95","$4,118.79","$2,282.01",$0.00,"$6,400.80","$2,818.59","$1,561.65","$2,973.09","$7,353.34","$29,110.10","$36,812.18","$27,309.44","$1,285.19",$0.00,$0.00,$515.46,$0.00,$0.00,"$1,800.66","$36,812.18","$6,946.00",$0.00,"$4,380.24",$0.00,$0.00,$0.00
BUSHWICK LEADERS HS-ACAD EXCELL,NYC GEOG DIST #32 - BROOKLYN ,"$7,094.79","$2,546.99","$5,342.04",$127.48,"$15,111.30","$1,249.50",$692.29,$0.00,"$1,941.79",$684.56,$379.28,"$1,254.85","$2,318.69","$19,371.79","$27,073.87","$17,761.22",$906.81,$0.00,$41.25,$110.05,$552.45,$0.00,"$1,610.57","$27,073.87","$14,958.07","$10,138.56","$1,398.37","$1,216.94",$0.00,$0.00
EBC HIGH SCHOOL-PUBLIC SERVICE,NYC GEOG DIST #32 - BROOKLYN ,"$6,524.84","$2,089.85","$4,772.98",$32.21,"$13,419.88",$911.67,$505.11,$0.00,"$1,416.77",$819.43,$454.00,$638.89,"$1,912.33","$16,748.98","$24,451.06","$15,614.21",$867.61,$0.00,$25.68,$8.66,$232.82,$0.00,"$1,134.77","$24,451.06","$15,961.51","$9,625.69","$1,089.64",$0.00,$0.00,$0.00
EVERGREEN MS-URBAN EXPLORATION,NYC GEOG DIST #32 - BROOKLYN ,"$7,853.69","$2,121.79","$5,526.92",$18.51,"$15,520.91","$1,127.36",$624.61,$0.00,"$1,751.98",$598.90,$331.82,$895.66,"$1,826.38","$19,099.28","$26,801.35","$18,225.99",$785.94,$0.00,$34.98,$16.57,$23.36,$12.43,$873.28,"$26,801.35","$22,271.84","$15,019.53",$930.72,$0.00,$0.00,$0.00
IS 347 SCHOOL OF HUMANITIES,NYC GEOG DIST #32 - BROOKLYN ,"$7,687.13","$3,296.49","$6,085.48",$55.06,"$17,124.16","$1,397.49",$774.28,$0.00,"$2,171.77","$1,141.55",$632.47,$385.33,"$2,159.36","$21,455.29","$29,157.37","$19,916.14",$883.68,$0.00,$35.25,$18.93,$373.16,$228.12,"$1,539.15","$29,157.37","$27,998.56","$15,423.76","$1,576.36",$0.00,$0.00,$0.00
