School,District,A1. Classroom Salaries,A2. Other Instructional Salaries,A3. Instructional Benefits,A4. Professional Development,GROUP A TOTAL,B1. School Administrative Salaries,B2. School Administrative Benefits,B3. Other School Administrative Expenditures,GROUP B TOTAL,C1. All Other Salaries,C2. All Other Benefits,C3. All Other Non-personnel Expenditures,GROUP C TOTAL,D. Total School Level (A + B + C),I. Total Spending (D + H),J. Total School Level Local/State Spending,K1. Federal Title I Part A,K2. Federal Title II Part A,K3. Federal Title III Part A,K4. Federal Title IV Part A,K5. IDEA,K6. All Other Federal,GROUP K TOTAL,N. Total District and School Spending (J + K + L + M),O. Special Education,P. ELL/MLL Services,Q. Pupil Services,R. Community Schools Programs,S. BOCES Services,T. Prekindergarten
ACADEMY OF TALENTED SCHOLARS (THE),NYC GEOG DIST #20 - BROOKLYN ,"$10,083.08","$5,110.70","$8,418.13",$558.04,"$24,169.95","$1,228.28",$680.53,$0.00,"$1,908.81",$694.04,$384.53,"$1,302.83","$2,381.40","$28,460.17","$36,162.24","$28,197.05",$5.00,$0.00,$6.92,$0.00,$251.19,$0.00,$263.12,"$36,162.24","$63,321.25","$8,643.60",$897.47,$0.00,$0.00,$0.00
BROOKLYN SCHOOL OF INQUIRY,NYC GEOG DIST #20 - BROOKLYN ,"$4,633.60","$1,440.91","$3,365.59",$26.25,"$9,466.34",$529.12,$293.16,$0.00,$822.28,$378.44,$209.68,$452.86,"$1,040.98","$11,329.60","$19,031.68","$11,127.76",$4.57,$0.00,$23.42,$0.00,$173.84,$0.00,$201.84,"$19,031.68","$25,342.51","$2,976.11",$588.12,$0.00,$0.00,$0.00
FORT HAMILTON HIGH SCHOOL,NYC GEOG DIST #20 - BROOKLYN ,"$4,820.57","$1,109.47","$3,285.54",$4.71,"$9,220.29",$456.50,$252.92,$0.00,$709.42,$540.55,$299.49,$689.29,"$1,529.34","$11,459.05","$19,161.13","$10,679.99",$613.16,$0.00,$24.47,$0.00,$89.62,$51.81,$779.07,"$19,161.13","$11,048.19","$5,967.62",$803.59,$0.00,$0.00,$0.00
FRANKLIN D ROOSEVELT HIGH SCHOOL,NYC GEOG DIST #20 - BROOKLYN ,"$5,410.44","$1,334.51","$3,737.04",$71.21,"$10,553.20",$585.33,$324.30,$0.00,$909.63,$637.64,$353.29,$751.64,"$1,742.58","$13,205.40","$20,907.47","$12,028.74",$892.91,$0.00,$56.42,$0.00,$222.97,$4.36,"$1,176.66","$20,907.47","$15,402.89","$6,766.30",$945.58,$0.00,$0.00,$0.00
HIGH SCHOOL OF TELECOMMUNICATION,NYC GEOG DIST #20 - BROOKLYN ,"$5,661.18","$1,814.00","$4,141.63",$31.95,"$11,648.77",$783.57,$434.14,$0.00,"$1,217.71",$667.53,$369.84,$542.81,"$1,580.18","$14,446.66","$22,148.73","$13,554.72",$695.62,$0.00,$9.87,$0.00,$162.87,$23.58,$891.94,"$22,148.73","$16,508.79","$2,224.81",$988.99,$0.00,$0.00,$0.00
IS 187 CHRISTA MCAULIFFE SCHOOL (THE),NYC GEOG DIST #20 - BROOKLYN ,"$5,646.21","$1,395.85","$3,901.66",$30.13,"$10,973.86",$635.15,$351.90,$0.00,$987.05,$289.72,$160.52,$419.83,$870.07,"$12,830.97","$20,533.05","$12,460.69",$0.25,$0.00,$4.26,$0.00,$304.46,$61.30,$370.28,"$20,533.05","$28,800.80","$35,942.20",$380.23,$0.00,$0.00,$0.00
JHS 201 DYKER HEIGHTS (THE),NYC GEOG DIST #20 - BROOKLYN ,"$5,343.35","$1,058.29","$3,546.83",$14.95,"$9,963.41",$363.28,$201.28,$0.00,$564.56,$271.30,$150.31,$730.26,"$1,151.88","$11,679.85","$19,381.93","$10,980.11",$606.56,$0.00,$17.70,$0.00,$75.49,$0.00,$699.74,"$19,381.93","$16,692.20","$6,949.32",$421.61,$0.00,$0.00,$0.00
JHS 220 JOHN J PERSHING,NYC GEOG DIST #20 - BROOKLYN ,"$6,827.43","$1,220.54","$4,458.98",$12.29,"$12,519.23",$511.07,$283.16,$0.00,$794.23,$330.16,$182.93,$575.45,"$1,088.55","$14,402.01","$22,104.09","$13,339.84",$836.77,$0.00,$59.78,$0.00,$165.62,$0.00,"$1,062.18","$22,104.09","$15,694.82","$4,765.08",$443.56,$0.00,$0.00,$0.00
JHS 223 MONTAUK (THE),NYC GEOG DIST #20 - BROOKLYN ,"$7,148.72","$1,433.90","$4,755.21",$13.03,"$13,350.86",$634.87,$351.75,$0.00,$986.63,$234.78,$130.08,$517.57,$882.43,"$15,219.92","$22,921.99","$14,014.60",$824.90,$0.00,$45.81,$0.00,$240.75,$93.85,"$1,205.32","$22,921.99","$19,163.91","$4,910.98",$364.86,$0.00,$0.00,$0.00
JHS 227 EDWARD B SHALLOW,NYC GEOG DIST #20 - BROOKLYN ,"$5,895.80","$1,250.49","$3,959.41",$31.85,"$11,137.56",$334.34,$185.24,$0.00,$519.58,$223.73,$123.95,"$1,227.77","$1,575.46","$13,232.59","$20,934.66","$12,315.71",$784.94,$0.00,$47.32,$0.00,$84.62,$0.00,$916.88,"$20,934.66","$17,889.02","$3,553.99",$347.68,$0.00,$0.00,$0.00
