School,District,A1. Classroom Salaries,A2. Other Instructional Salaries,A3. Instructional Benefits,A4. Professional Development,GROUP A TOTAL,B1. School Administrative Salaries,B2. School Administrative Benefits,B3. Other School Administrative Expenditures,GROUP B TOTAL,C1. All Other Salaries,C2. All Other Benefits,C3. All Other Non-personnel Expenditures,GROUP C TOTAL,D. Total School Level (A + B + C),I. Total Spending (D + H),J. Total School Level Local/State Spending,K1. Federal Title I Part A,K2. Federal Title II Part A,K3. Federal Title III Part A,K4. Federal Title IV Part A,K5. IDEA,K6. All Other Federal,GROUP K TOTAL,N. Total District and School Spending (J + K + L + M),O. Special Education,P. ELL/MLL Services,Q. Pupil Services,R. Community Schools Programs,S. BOCES Services,T. Prekindergarten
ACCION ACADEMY,NYC GEOG DIST #12 - BRONX ,"$5,981.84","$2,907.93","$4,925.39",$410.11,"$14,225.29",$756.72,$419.26,$0.00,"$1,175.98",$660.12,$365.74,"$2,523.60","$3,549.46","$18,950.73","$26,652.80","$17,489.77","$1,003.57",$0.00,$56.82,$0.00,$67.74,$332.82,"$1,460.95","$26,652.80","$16,766.67","$6,264.71","$1,654.23","$2,035.16",$0.00,$0.00
ARCHER ELEMENTARY SCHOOL,NYC GEOG DIST #12 - BRONX ,"$6,786.60","$3,513.91","$5,707.00",$41.17,"$16,048.68",$819.46,$454.02,$0.00,"$1,273.48",$716.35,$396.90,$709.85,"$1,823.10","$19,145.26","$26,847.34","$17,387.91",$924.24,$0.00,$46.21,$0.00,$751.76,$35.14,"$1,757.35","$26,847.34","$21,403.84","$5,495.24","$1,113.25",$0.00,$0.00,"$14,781.11"
ARTURO A SCHOMBURG SATTELLITE-BRONX,NYC GEOG DIST #12 - BRONX ,"$6,954.16","$1,474.64","$4,669.99",$26.05,"$13,124.85","$1,636.16",$906.52,$0.00,"$2,542.69",$857.70,$475.21,"$1,266.25","$2,599.16","$18,266.70","$25,968.78","$17,124.72",$946.90,$0.00,$0.00,$0.00,$44.19,$150.89,"$1,141.98","$25,968.78","$7,919.51","$19,491.63","$1,332.91",$0.00,$0.00,$0.00
BRONX CAREER AND COLLEGE PREP HS,NYC GEOG DIST #12 - BRONX ,"$6,265.71","$1,661.94","$4,392.32",$0.00,"$12,319.98","$1,169.37",$647.89,$0.00,"$1,817.26","$1,372.08",$760.20,"$3,110.93","$5,243.21","$19,380.46","$27,082.53","$18,148.60",$933.31,$0.00,$49.41,$0.00,$163.21,$85.92,"$1,231.85","$27,082.53","$8,979.37","$8,908.37","$3,289.13","$1,522.99",$0.00,$0.00
BRONX ENVISION ACADEMY,NYC GEOG DIST #12 - BRONX ,"$6,759.38","$1,712.75","$4,693.99",$157.48,"$13,323.61",$778.81,$431.50,$0.00,"$1,210.32",$751.18,$416.19,"$1,351.16","$2,518.53","$17,052.46","$24,754.54","$15,952.32",$899.76,$0.00,$29.21,$0.00,$119.56,$51.60,"$1,100.14","$24,754.54","$11,475.96","$5,410.30","$1,167.37",$0.00,$0.00,$0.00
BRONX LATIN SCHOOL,NYC GEOG DIST #12 - BRONX ,"$6,618.15","$1,517.63","$4,507.63",$0.00,"$12,643.40",$790.07,$437.74,$0.00,"$1,227.81",$714.03,$395.61,$969.32,"$2,078.95","$15,950.17","$23,652.24","$14,614.42",$992.48,$0.00,$20.91,$0.00,$281.51,$40.85,"$1,335.74","$23,652.24","$14,839.08","$10,126.06","$1,109.63",$0.00,$0.00,$0.00
BRONX LITTLE SCHOOL,NYC GEOG DIST #12 - BRONX ,"$7,254.27","$2,937.61","$5,646.82",$140.25,"$15,978.94",$863.38,$478.36,$0.00,"$1,341.73",$328.96,$182.26,$847.88,"$1,359.10","$18,679.77","$26,381.85","$17,488.88",$843.46,$0.00,$41.70,$0.00,$228.12,$77.60,"$1,190.89","$26,381.85","$24,281.76","$4,519.38",$511.22,$0.00,$0.00,"$13,956.61"
BRONX REGIONAL HIGH SCHOOL,NYC GEOG DIST #12 - BRONX ,"$8,264.48","$2,732.51","$6,092.89",$289.81,"$17,379.70","$2,293.88","$1,270.92",$0.00,"$3,564.80","$2,116.71","$1,172.76","$1,421.83","$4,711.32","$25,655.83","$33,357.91","$20,814.20","$1,680.61",$0.00,$0.00,$460.37,$0.00,"$2,700.64","$4,841.62","$33,357.91","$5,507.19","$9,249.44","$2,988.32",$0.00,$0.00,$0.00
CINEMA SCHOOL (THE),NYC GEOG DIST #12 - BRONX ,"$4,756.12","$1,023.12","$3,201.99",$0.00,"$8,981.24","$1,360.42",$753.74,$0.00,"$2,114.16",$729.94,$404.42,"$1,191.39","$2,325.76","$13,421.16","$21,123.23","$12,605.36",$815.80,$0.00,$0.00,$0.00,$0.00,$0.00,$815.80,"$21,123.23","$9,804.32","$6,835.88",$913.40,$0.00,$0.00,$0.00
EAST BRONX ACADEMY FOR THE FUTURE,NYC GEOG DIST #12 - BRONX ,"$7,430.69","$2,646.83","$5,583.46",$119.87,"$15,780.84",$688.54,$381.48,$0.00,"$1,070.02",$649.03,$359.60,"$1,129.81","$2,138.44","$18,989.30","$26,691.37","$17,710.16",$966.31,$0.00,$26.83,$0.00,$221.68,$64.31,"$1,279.14","$26,691.37","$14,984.20","$8,167.31","$1,601.94","$2,696.85",$0.00,$0.00
